source,relation,destination
exercise machine (moderate),SPENDS,5.1-110
football,SPENDS,5.1-8.0
football,SPENDS,0-1200
football,SPENDS,5.1-13.5
football,SPENDS,0-110
football,SPENDS,5.1-110
hockey,SPENDS,5.1-8.0
hockey,SPENDS,0-1200
hockey,SPENDS,5.1-13.5
hockey,SPENDS,0-110
hockey,SPENDS,5.1-110
ice hockey,SPENDS,5.1-8.0
ice hockey,SPENDS,0-1200
ice hockey,SPENDS,5.1-13.5
ice hockey,SPENDS,0-110
ice hockey,SPENDS,5.1-110
handball,SPENDS,5.1-8.0
handball,SPENDS,0-1200
handball,SPENDS,5.1-13.5
handball,SPENDS,0-110
handball,SPENDS,5.1-110
abdominal (sit ups),SPENDS,5.1-8.0
abdominal (sit ups),SPENDS,0-1200
abdominal (sit ups),SPENDS,5.1-13.5
abdominal (sit ups),SPENDS,0-110
abdominal (sit ups),SPENDS,5.1-110
kettlebells,SPENDS,5.1-8.0
kettlebells,SPENDS,0-1200
kettlebells,SPENDS,5.1-13.5
kettlebells,SPENDS,0-110
kettlebells,SPENDS,5.1-110
padel tennis,SPENDS,5.1-8.0
padel tennis,SPENDS,0-1200
padel tennis,SPENDS,5.1-13.5
padel tennis,SPENDS,0-110
padel tennis,SPENDS,5.1-110
lacrosse,SPENDS,5.1-8.0
lacrosse,SPENDS,0-1200
lacrosse,SPENDS,5.1-13.5
lacrosse,SPENDS,0-110
lacrosse,SPENDS,5.1-110
nordic walking,SPENDS,5.1-8.0
nordic walking,SPENDS,0-1200
nordic walking,SPENDS,5.1-13.5
nordic walking,SPENDS,0-110
nordic walking,SPENDS,5.1-110
jumping jacks (star jumps),SPENDS,5.1-8.0
jumping jacks (star jumps),SPENDS,0-1200
jumping jacks (star jumps),SPENDS,5.1-13.5
jumping jacks (star jumps),SPENDS,0-110
jumping jacks (star jumps),SPENDS,5.1-110
roller blading,SPENDS,10-110
roller blading,SPENDS,8.1-13.5
roller blading,SPENDS,0-1200
roller blading,SPENDS,5.1-13.5
roller blading,SPENDS,0-110
roller blading,SPENDS,5.1-110
bicycling (fast) - 15/mph,SPENDS,10-110
bicycling (fast) - 15/mph,SPENDS,8.1-13.5
bicycling (fast) - 15/mph,SPENDS,0-1200
bicycling (fast) - 15/mph,SPENDS,5.1-13.5
bicycling (fast) - 15/mph,SPENDS,0-110
bicycling (fast) - 15/mph,SPENDS,5.1-110
running - 6/mph,SPENDS,10-110
running - 6/mph,SPENDS,8.1-13.5
running - 6/mph,SPENDS,0-1200
running - 6/mph,SPENDS,5.1-13.5
running - 6/mph,SPENDS,0-110
running - 6/mph,SPENDS,5.1-110
skipping rope (jumping rope),SPENDS,10-110
skipping rope (jumping rope),SPENDS,8.1-13.5
skipping rope (jumping rope),SPENDS,0-1200
skipping rope (jumping rope),SPENDS,5.1-13.5
skipping rope (jumping rope),SPENDS,0-110
skipping rope (jumping rope),SPENDS,5.1-110
swimming (fast),SPENDS,10-110
swimming (fast),SPENDS,8.1-13.5
swimming (fast),SPENDS,0-1200
swimming (fast),SPENDS,5.1-13.5
swimming (fast),SPENDS,0-110
swimming (fast),SPENDS,5.1-110
exercise machine (fast),SPENDS,10-110
exercise machine (fast),SPENDS,8.1-13.5
exercise machine (fast),SPENDS,0-1200
exercise machine (fast),SPENDS,5.1-13.5
exercise machine (fast),SPENDS,0-110
exercise machine (fast),SPENDS,5.1-110
racquetball,SPENDS,10-110
racquetball,SPENDS,8.1-13.5
racquetball,SPENDS,0-1200
racquetball,SPENDS,5.1-13.5
racquetball,SPENDS,0-110
racquetball,SPENDS,5.1-110
running - 7/mph,SPENDS,10-110
running - 7/mph,SPENDS,8.1-13.5
running - 7/mph,SPENDS,0-1200
running - 7/mph,SPENDS,5.1-13.5
running - 7/mph,SPENDS,0-110
running - 7/mph,SPENDS,5.1-110
boxing,SPENDS,10-110
boxing,SPENDS,8.1-13.5
boxing,SPENDS,0-1200
boxing,SPENDS,5.1-13.5
boxing,SPENDS,0-110
boxing,SPENDS,5.1-110
bicycling (very fast) - 17.5/mph,SPENDS,10-110
bicycling (very fast) - 17.5/mph,SPENDS,8.1-13.5
bicycling (very fast) - 17.5/mph,SPENDS,0-1200
bicycling (very fast) - 17.5/mph,SPENDS,5.1-13.5
bicycling (very fast) - 17.5/mph,SPENDS,0-110
bicycling (very fast) - 17.5/mph,SPENDS,5.1-110
skiing (cross country),SPENDS,10-110
skiing (cross country),SPENDS,8.1-13.5
skiing (cross country),SPENDS,0-1200
skiing (cross country),SPENDS,5.1-13.5
skiing (cross country),SPENDS,0-110
skiing (cross country),SPENDS,5.1-110
running - 8/mph,SPENDS,10-110
running - 8/mph,SPENDS,8.1-13.5
running - 8/mph,SPENDS,0-1200
running - 8/mph,SPENDS,5.1-13.5
running - 8/mph,SPENDS,0-110
running - 8/mph,SPENDS,5.1-110
running - 9/mph,SPENDS,10-110
running - 9/mph,SPENDS,0-1200
running - 9/mph,SPENDS,13.6-16.0
running - 9/mph,SPENDS,0-110
running - 9/mph,SPENDS,5.1-110
running - 9/mph,SPENDS,13.6-110
running - 10/mph,SPENDS,10-110
running - 10/mph,SPENDS,0-1200
running - 10/mph,SPENDS,13.6-16.0
running - 10/mph,SPENDS,0-110
running - 10/mph,SPENDS,5.1-110
running - 10/mph,SPENDS,13.6-110
