source,relation,destination
boating or canoeing,SPENDS,0-5.0
boating or canoeing,SPENDS,0-1200
boating or canoeing,SPENDS,2.6-3.5
boating or canoeing,SPENDS,0-110
boating or canoeing,SPENDS,2.6-5.0
fishing,SPENDS,0-5.0
fishing,SPENDS,0-1200
fishing,SPENDS,2.6-3.5
fishing,SPENDS,0-110
fishing,SPENDS,2.6-5.0
vacuuming,SPENDS,0-5.0
vacuuming,SPENDS,0-1200
vacuuming,SPENDS,2.6-3.5
vacuuming,SPENDS,0-110
vacuuming,SPENDS,2.6-5.0
do it yourself (diy),SPENDS,0-5.0
do it yourself (diy),SPENDS,0-1200
do it yourself (diy),SPENDS,2.6-3.5
do it yourself (diy),SPENDS,0-110
do it yourself (diy),SPENDS,2.6-5.0
surfing,SPENDS,0-5.0
surfing,SPENDS,0-1200
surfing,SPENDS,2.6-3.5
surfing,SPENDS,0-110
surfing,SPENDS,2.6-5.0
sailing,SPENDS,0-5.0
sailing,SPENDS,0-1200
sailing,SPENDS,2.6-3.5
sailing,SPENDS,0-110
sailing,SPENDS,2.6-5.0
pilates,SPENDS,0-5.0
pilates,SPENDS,0-1200
pilates,SPENDS,2.6-3.5
pilates,SPENDS,0-110
pilates,SPENDS,2.6-5.0
walking (moderate) - 3/mph,SPENDS,0-5.0
walking (moderate) - 3/mph,SPENDS,0-1200
walking (moderate) - 3/mph,SPENDS,2.6-3.5
walking (moderate) - 3/mph,SPENDS,0-110
walking (moderate) - 3/mph,SPENDS,2.6-5.0
"calisthenics (light, e.g. home exercise)",SPENDS,0-5.0
"calisthenics (light, e.g. home exercise)",SPENDS,0-1200
"calisthenics (light, e.g. home exercise)",SPENDS,2.6-3.5
"calisthenics (light, e.g. home exercise)",SPENDS,0-110
"calisthenics (light, e.g. home exercise)",SPENDS,2.6-5.0
walking (exercise) - 3.5/mph,SPENDS,0-5.0
walking (exercise) - 3.5/mph,SPENDS,3.6-5.0
walking (exercise) - 3.5/mph,SPENDS,0-1200
walking (exercise) - 3.5/mph,SPENDS,0-110
walking (exercise) - 3.5/mph,SPENDS,2.6-5.0
yard work (gardening),SPENDS,0-5.0
yard work (gardening),SPENDS,3.6-5.0
yard work (gardening),SPENDS,0-1200
yard work (gardening),SPENDS,0-110
yard work (gardening),SPENDS,2.6-5.0
raking,SPENDS,0-5.0
raking,SPENDS,3.6-5.0
raking,SPENDS,0-1200
raking,SPENDS,0-110
raking,SPENDS,2.6-5.0
archery,SPENDS,0-5.0
archery,SPENDS,3.6-5.0
archery,SPENDS,0-1200
archery,SPENDS,0-110
archery,SPENDS,2.6-5.0
table tennis (ping pong),SPENDS,0-5.0
table tennis (ping pong),SPENDS,3.6-5.0
table tennis (ping pong),SPENDS,0-1200
table tennis (ping pong),SPENDS,0-110
table tennis (ping pong),SPENDS,2.6-5.0
motor-cross,SPENDS,0-5.0
motor-cross,SPENDS,3.6-5.0
motor-cross,SPENDS,0-1200
motor-cross,SPENDS,0-110
motor-cross,SPENDS,2.6-5.0
volleyball,SPENDS,0-5.0
volleyball,SPENDS,3.6-5.0
volleyball,SPENDS,0-1200
volleyball,SPENDS,0-110
volleyball,SPENDS,2.6-5.0
water biking/running,SPENDS,0-5.0
water biking/running,SPENDS,3.6-5.0
water biking/running,SPENDS,0-1200
water biking/running,SPENDS,0-110
water biking/running,SPENDS,2.6-5.0
swimming (slow),SPENDS,0-5.0
swimming (slow),SPENDS,3.6-5.0
swimming (slow),SPENDS,0-1200
swimming (slow),SPENDS,0-110
swimming (slow),SPENDS,2.6-5.0
horseback riding,SPENDS,0-5.0
horseback riding,SPENDS,3.6-5.0
horseback riding,SPENDS,0-1200
horseback riding,SPENDS,0-110
horseback riding,SPENDS,2.6-5.0
yoga (hot),SPENDS,0-5.0
yoga (hot),SPENDS,3.6-5.0
yoga (hot),SPENDS,0-1200
yoga (hot),SPENDS,0-110
yoga (hot),SPENDS,2.6-5.0
bowling,SPENDS,0-5.0
bowling,SPENDS,3.6-5.0
bowling,SPENDS,0-1200
bowling,SPENDS,0-110
bowling,SPENDS,2.6-5.0
golf (walking),SPENDS,0-5.0
golf (walking),SPENDS,3.6-5.0
golf (walking),SPENDS,0-1200
golf (walking),SPENDS,0-110
golf (walking),SPENDS,2.6-5.0
dance (slow step),SPENDS,0-5.0
dance (slow step),SPENDS,3.6-5.0
dance (slow step),SPENDS,0-1200
dance (slow step),SPENDS,0-110
dance (slow step),SPENDS,2.6-5.0
bicycling (leisurely) - <10/mph,SPENDS,0-5.0
bicycling (leisurely) - <10/mph,SPENDS,3.6-5.0
bicycling (leisurely) - <10/mph,SPENDS,0-1200
bicycling (leisurely) - <10/mph,SPENDS,0-110
bicycling (leisurely) - <10/mph,SPENDS,2.6-5.0
mowing lawn,SPENDS,0-5.0
mowing lawn,SPENDS,3.6-5.0
mowing lawn,SPENDS,0-1200
mowing lawn,SPENDS,0-110
mowing lawn,SPENDS,2.6-5.0
cricket,SPENDS,0-5.0
cricket,SPENDS,3.6-5.0
cricket,SPENDS,0-1200
cricket,SPENDS,0-110
cricket,SPENDS,2.6-5.0
softball,SPENDS,0-5.0
softball,SPENDS,3.6-5.0
softball,SPENDS,0-1200
softball,SPENDS,0-110
softball,SPENDS,2.6-5.0
skating - 10/mph,SPENDS,0-5.0
skating - 10/mph,SPENDS,3.6-5.0
skating - 10/mph,SPENDS,0-1200
skating - 10/mph,SPENDS,0-110
skating - 10/mph,SPENDS,2.6-5.0
walking (brisk) - 4/mph,SPENDS,0-5.0
walking (brisk) - 4/mph,SPENDS,3.6-5.0
walking (brisk) - 4/mph,SPENDS,0-1200
walking (brisk) - 4/mph,SPENDS,0-110
walking (brisk) - 4/mph,SPENDS,2.6-5.0
shoveling,SPENDS,0-5.0
shoveling,SPENDS,3.6-5.0
shoveling,SPENDS,0-1200
shoveling,SPENDS,0-110
shoveling,SPENDS,2.6-5.0
dance (square dancing),SPENDS,0-5.0
dance (square dancing),SPENDS,3.6-5.0
dance (square dancing),SPENDS,0-1200
dance (square dancing),SPENDS,0-110
dance (square dancing),SPENDS,2.6-5.0
baseball,SPENDS,0-5.0
baseball,SPENDS,3.6-5.0
baseball,SPENDS,0-1200
baseball,SPENDS,0-110
baseball,SPENDS,2.6-5.0
painting,SPENDS,0-5.0
painting,SPENDS,3.6-5.0
painting,SPENDS,0-1200
painting,SPENDS,0-110
painting,SPENDS,2.6-5.0
badminton,SPENDS,0-5.0
badminton,SPENDS,3.6-5.0
badminton,SPENDS,0-1200
badminton,SPENDS,0-110
badminton,SPENDS,2.6-5.0
kayaking,SPENDS,0-5.0
kayaking,SPENDS,3.6-5.0
kayaking,SPENDS,0-1200
kayaking,SPENDS,0-110
kayaking,SPENDS,2.6-5.0
hunting,SPENDS,0-5.0
hunting,SPENDS,3.6-5.0
hunting,SPENDS,0-1200
hunting,SPENDS,0-110
hunting,SPENDS,2.6-5.0
hula hoop,SPENDS,0-5.0
hula hoop,SPENDS,3.6-5.0
hula hoop,SPENDS,0-1200
hula hoop,SPENDS,0-110
hula hoop,SPENDS,2.6-5.0
conditioning exercise (health club),SPENDS,5.1-8.0
conditioning exercise (health club),SPENDS,0-1200
conditioning exercise (health club),SPENDS,5.1-13.5
conditioning exercise (health club),SPENDS,0-110
conditioning exercise (health club),SPENDS,5.1-110
bicycling (slow) - 11/mph,SPENDS,5.1-8.0
bicycling (slow) - 11/mph,SPENDS,0-1200
bicycling (slow) - 11/mph,SPENDS,5.1-13.5
bicycling (slow) - 11/mph,SPENDS,0-110
bicycling (slow) - 11/mph,SPENDS,5.1-110
weight training (moderate),SPENDS,5.1-8.0
weight training (moderate),SPENDS,0-1200
