source,relation,destination
hockey,BURNS,501-900
hockey,BURNS,501-600
hockey,BURNS,101-1200
hockey,BURNS,501-700
hockey,BURNS,551-600
hockey,BURNS,101-900
ice hockey,BURNS,501-900
ice hockey,BURNS,501-600
ice hockey,BURNS,101-1200
ice hockey,BURNS,501-700
ice hockey,BURNS,551-600
ice hockey,BURNS,101-900
handball,BURNS,501-900
handball,BURNS,501-600
handball,BURNS,101-1200
handball,BURNS,501-700
handball,BURNS,551-600
handball,BURNS,101-900
abdominal (sit ups),BURNS,501-900
abdominal (sit ups),BURNS,501-600
abdominal (sit ups),BURNS,101-1200
abdominal (sit ups),BURNS,501-700
abdominal (sit ups),BURNS,551-600
abdominal (sit ups),BURNS,101-900
kettlebells,BURNS,501-900
kettlebells,BURNS,501-600
kettlebells,BURNS,101-1200
kettlebells,BURNS,501-700
kettlebells,BURNS,551-600
kettlebells,BURNS,101-900
padel tennis,BURNS,501-900
padel tennis,BURNS,501-600
padel tennis,BURNS,101-1200
padel tennis,BURNS,501-700
padel tennis,BURNS,551-600
padel tennis,BURNS,101-900
lacrosse,BURNS,501-900
lacrosse,BURNS,501-600
lacrosse,BURNS,101-1200
lacrosse,BURNS,501-700
lacrosse,BURNS,551-600
lacrosse,BURNS,101-900
nordic walking,BURNS,501-900
nordic walking,BURNS,501-600
nordic walking,BURNS,101-1200
nordic walking,BURNS,501-700
nordic walking,BURNS,551-600
nordic walking,BURNS,101-900
jumping jacks (star jumps),BURNS,501-900
jumping jacks (star jumps),BURNS,501-600
jumping jacks (star jumps),BURNS,101-1200
jumping jacks (star jumps),BURNS,501-700
jumping jacks (star jumps),BURNS,551-600
jumping jacks (star jumps),BURNS,101-900
roller blading,BURNS,701-800
roller blading,BURNS,501-900
roller blading,BURNS,701-900
roller blading,BURNS,701-750
roller blading,BURNS,101-1200
roller blading,BURNS,101-900
bicycling (fast) - 15/mph,BURNS,701-800
bicycling (fast) - 15/mph,BURNS,501-900
bicycling (fast) - 15/mph,BURNS,701-900
bicycling (fast) - 15/mph,BURNS,701-750
bicycling (fast) - 15/mph,BURNS,101-1200
bicycling (fast) - 15/mph,BURNS,101-900
running - 6/mph,BURNS,701-800
running - 6/mph,BURNS,501-900
running - 6/mph,BURNS,701-900
running - 6/mph,BURNS,701-750
running - 6/mph,BURNS,101-1200
running - 6/mph,BURNS,101-900
skipping rope (jumping rope),BURNS,701-800
skipping rope (jumping rope),BURNS,501-900
skipping rope (jumping rope),BURNS,701-900
skipping rope (jumping rope),BURNS,701-750
skipping rope (jumping rope),BURNS,101-1200
skipping rope (jumping rope),BURNS,101-900
swimming (fast),BURNS,701-800
swimming (fast),BURNS,501-900
swimming (fast),BURNS,701-900
swimming (fast),BURNS,701-750
swimming (fast),BURNS,101-1200
swimming (fast),BURNS,101-900
exercise machine (fast),BURNS,701-800
exercise machine (fast),BURNS,501-900
exercise machine (fast),BURNS,701-900
exercise machine (fast),BURNS,701-750
exercise machine (fast),BURNS,101-1200
exercise machine (fast),BURNS,101-900
racquetball,BURNS,701-800
racquetball,BURNS,501-900
racquetball,BURNS,701-900
racquetball,BURNS,701-750
racquetball,BURNS,101-1200
racquetball,BURNS,101-900
running - 7/mph,BURNS,501-900
running - 7/mph,BURNS,801-850
running - 7/mph,BURNS,701-900
running - 7/mph,BURNS,101-1200
running - 7/mph,BURNS,801-900
running - 7/mph,BURNS,101-900
boxing,BURNS,501-900
boxing,BURNS,851-900
boxing,BURNS,701-900
boxing,BURNS,101-1200
boxing,BURNS,801-900
boxing,BURNS,101-900
bicycling (very fast) - 17.5/mph,BURNS,501-900
bicycling (very fast) - 17.5/mph,BURNS,851-900
bicycling (very fast) - 17.5/mph,BURNS,701-900
bicycling (very fast) - 17.5/mph,BURNS,101-1200
bicycling (very fast) - 17.5/mph,BURNS,801-900
bicycling (very fast) - 17.5/mph,BURNS,101-900
skiing (cross country),BURNS,501-900
skiing (cross country),BURNS,851-900
skiing (cross country),BURNS,701-900
skiing (cross country),BURNS,101-1200
skiing (cross country),BURNS,801-900
skiing (cross country),BURNS,101-900
running - 8/mph,BURNS,901-1200
running - 8/mph,BURNS,101-1200
running - 8/mph,BURNS,901-1000
running - 8/mph,BURNS,901-1100
running - 8/mph,BURNS,951-1000
running - 9/mph,BURNS,901-1200
running - 9/mph,BURNS,1101-1200
running - 9/mph,BURNS,101-1200
running - 9/mph,BURNS,1101-1150
running - 10/mph,BURNS,901-1200
running - 10/mph,BURNS,1101-1200
running - 10/mph,BURNS,1151-1200
running - 10/mph,BURNS,101-1200
