source,relation,destination
fishing,BURNS,101-900
fishing,BURNS,101-500
vacuuming,BURNS,201-300
vacuuming,BURNS,101-1200
vacuuming,BURNS,101-300
vacuuming,BURNS,201-250
vacuuming,BURNS,101-900
vacuuming,BURNS,101-500
do it yourself (diy),BURNS,201-300
do it yourself (diy),BURNS,101-1200
do it yourself (diy),BURNS,101-300
do it yourself (diy),BURNS,201-250
do it yourself (diy),BURNS,101-900
do it yourself (diy),BURNS,101-500
surfing,BURNS,201-300
surfing,BURNS,101-1200
surfing,BURNS,101-300
surfing,BURNS,201-250
surfing,BURNS,101-900
surfing,BURNS,101-500
sailing,BURNS,201-300
sailing,BURNS,101-1200
sailing,BURNS,101-300
sailing,BURNS,201-250
sailing,BURNS,101-900
sailing,BURNS,101-500
pilates,BURNS,201-300
pilates,BURNS,101-1200
pilates,BURNS,101-300
pilates,BURNS,201-250
pilates,BURNS,101-900
pilates,BURNS,101-500
walking (moderate) - 3/mph,BURNS,201-300
walking (moderate) - 3/mph,BURNS,101-1200
walking (moderate) - 3/mph,BURNS,101-300
walking (moderate) - 3/mph,BURNS,201-250
walking (moderate) - 3/mph,BURNS,101-900
walking (moderate) - 3/mph,BURNS,101-500
"calisthenics (light, e.g. home exercise)",BURNS,201-300
"calisthenics (light, e.g. home exercise)",BURNS,251-300
"calisthenics (light, e.g. home exercise)",BURNS,101-1200
"calisthenics (light, e.g. home exercise)",BURNS,101-300
"calisthenics (light, e.g. home exercise)",BURNS,101-900
"calisthenics (light, e.g. home exercise)",BURNS,101-500
walking (exercise) - 3.5/mph,BURNS,201-300
walking (exercise) - 3.5/mph,BURNS,251-300
walking (exercise) - 3.5/mph,BURNS,101-1200
walking (exercise) - 3.5/mph,BURNS,101-300
walking (exercise) - 3.5/mph,BURNS,101-900
walking (exercise) - 3.5/mph,BURNS,101-500
yard work (gardening),BURNS,201-300
yard work (gardening),BURNS,251-300
yard work (gardening),BURNS,101-1200
yard work (gardening),BURNS,101-300
yard work (gardening),BURNS,101-900
yard work (gardening),BURNS,101-500
raking,BURNS,201-300
raking,BURNS,251-300
raking,BURNS,101-1200
raking,BURNS,101-300
raking,BURNS,101-900
raking,BURNS,101-500
archery,BURNS,201-300
archery,BURNS,251-300
archery,BURNS,101-1200
archery,BURNS,101-300
archery,BURNS,101-900
archery,BURNS,101-500
table tennis (ping pong),BURNS,201-300
table tennis (ping pong),BURNS,251-300
table tennis (ping pong),BURNS,101-1200
table tennis (ping pong),BURNS,101-300
table tennis (ping pong),BURNS,101-900
table tennis (ping pong),BURNS,101-500
motor-cross,BURNS,201-300
motor-cross,BURNS,251-300
motor-cross,BURNS,101-1200
motor-cross,BURNS,101-300
motor-cross,BURNS,101-900
motor-cross,BURNS,101-500
volleyball,BURNS,201-300
volleyball,BURNS,251-300
volleyball,BURNS,101-1200
volleyball,BURNS,101-300
volleyball,BURNS,101-900
volleyball,BURNS,101-500
water biking/running,BURNS,201-300
water biking/running,BURNS,251-300
water biking/running,BURNS,101-1200
