muscleNstrength,exRx,confidence
hanging leg raise,hanging leg-hip raise_bosu support,1.0
hanging leg raise,seated side leg raise crunch,0.8539682539682539
hanging leg raise,hanging leg hip raise_on parallel bars,1.0
hanging leg raise,lying leg raise crunch,0.8550264550264549
hanging leg raise,side leg hip raise (ab coaster),0.8539682539682539
hanging leg raise,hanging leg hip raise,1.0
hanging leg raise,lying leg-hip raise_on bench,0.8550264550264549
hanging leg raise,hanging leg-hip raise_incline leg-hip raise,1.0
hanging leg raise,hanging leg hip raise_straight leg,1.0
hanging leg raise,hanging leg hip raise_straight leg,1.0
hanging leg raise,hanging leg-hip raise_on parallel bars,1.0
weighted crunch,seated twisting leg raise crunch,0.8611111111111112
weighted crunch,seated crunch,0.8611111111111112
weighted crunch,seated crunch,0.8611111111111112
weighted crunch,seated crunch_arm pad,0.8611111111111112
weighted crunch,seated leg raise crunch,0.8611111111111112
weighted crunch,seated crunch_overhead,0.8611111111111112
weighted crunch,seated crunch_plate loaded,0.8611111111111112
weighted crunch,seated crunch_chest pad,0.8611111111111112
weighted crunch,seated leg raise crunch,0.8611111111111112
weighted crunch,seated side leg raise crunch,0.8611111111111112
weighted crunch,seated crunch_arm bar,0.8611111111111112
side plank,side plank_bent knee,1.0
side plank,side plank,1.0
russian twist,russian twist (on ball),1.0
russian twist,russian twis,0.98
russian twist,russian twis_russian twist (on ball),1.0
russian twist,russian twist (on ball),1.0
twisting cable crunch,seated twisting leg raise crunch,0.8666666666666667
twisting cable crunch,incline twisting crunch_on ball,0.892063492063492
twisting cable crunch,incline twisting crunch_side crunch,0.892063492063492
twisting cable crunch,standing twisting crunch_single side,0.8592592592592593
twisting cable crunch,incline twisting crunch_on ball,0.892063492063492
twisting cable crunch,incline twisting crunch_on ball,0.892063492063492
twisting cable crunch,incline twisting crunch_twisting crunch,0.892063492063492
twisting cable crunch,incline twisting crunch_on ball,0.892063492063492
twisting cable crunch,incline twisting crunch,0.892063492063492
twisting cable crunch,incline twisting crunch_side crunch,0.892063492063492
twisting cable crunch,incline twisting crunch_twisting crunch,0.892063492063492
twisting cable crunch,incline twisting crunch,0.892063492063492
twisting cable crunch,incline twisting crunch_arms crossed,0.892063492063492
twisting cable crunch,incline twisting crunch_arms crossed,0.892063492063492
seated dumbbell side bends,seated side bend,0.8858333333333334
dumbbell side bends,barbell machine side bend,0.9132539682539682
exercise ball crunch,incline twisting crunch_on ball,0.8670634920634921
exercise ball crunch,incline twisting crunch_on ball,0.8670634920634921
exercise ball crunch,incline twisting crunch_on ball,0.8670634920634921
exercise ball crunch,incline twisting crunch_on ball,0.8670634920634921
single leg valslide leg curl,seated leg curl_single leg,0.8888888888888888
single leg valslide leg curl,seated leg curl_single leg,0.8888888888888888
single leg valslide leg curl,hanging hamstring bridge curl_single leg,0.90625
single leg valslide leg curl,straight hip leg curl_single leg,0.8784722222222222
leg curl,standing leg curl_on leg extension machine,1.0
leg curl,leg curl,1.0
leg curl,inverse leg curl,1.0
leg curl,seated leg curl_single leg,1.0
leg curl,seated leg curl,1.0
leg curl,lying leg curl,1.0
leg curl,hanging leg curl,1.0
leg curl,lying leg curl_alternating,1.0
leg curl,hanging leg curl_straight hip,1.0
leg curl,inverse leg curl,1.0
leg curl,lying leg curl_alternative machine,1.0
leg curl,seated leg curl_single leg,1.0
leg curl,bent-over leg curl,1.0
leg curl,bent-over leg curl_alternating,1.0
leg curl,inverse leg curl,1.0
leg curl,straight hip leg curl,1.0
leg curl,kneeling leg curl,1.0
leg curl,standing leg curl,1.0
leg curl,inverse leg curl_on floor,1.0
leg curl,lying leg curl,1.0
leg curl,lying leg curl_on reverse hyper-extension machine,1.0
leg curl,standing leg curl,1.0
leg curl,hanging leg curl,1.0
leg curl,inverse leg curl,1.0
leg curl,bent-over leg curl,1.0
leg curl,seated leg curl,1.0
leg curl,hanging hamstring bridge curl_single leg,1.0
leg curl,standing leg curl_alternating,1.0
leg curl,lying leg curl,1.0
leg curl,standing leg curl_on multi-hip machine,1.0
leg curl,kneeling leg curl,1.0
leg curl,straight hip leg curl_single leg,1.0
leg curl,hanging leg curl_straight hip,1.0
cable hip adduction,seated hip adduction,0.8592592592592593
cable hip adduction,seated hip adduction,0.8592592592592593
single leg curl,standing leg curl_on leg extension machine,0.8809523809523809
single leg curl,inverse leg curl,0.8809523809523809
single leg curl,seated leg curl_single leg,1.0
single leg curl,seated leg curl,0.8518518518518517
single leg curl,lying leg curl,0.9
single leg curl,lying leg curl_alternating,0.9
single leg curl,hanging leg curl_straight hip,0.875
single leg curl,inverse leg curl,0.8809523809523809
single leg curl,lying leg curl_alternative machine,0.9
single leg curl,seated leg curl_single leg,1.0
single leg curl,inverse leg curl,0.8809523809523809
single leg curl,straight hip leg curl,0.875
single leg curl,inverse leg curl_on floor,0.8809523809523809
single leg curl,lying leg curl,0.9
single leg curl,lying leg curl_on reverse hyper-extension machine,0.9
single leg curl,inverse leg curl,0.8809523809523809
single leg curl,seated leg curl,0.8518518518518517
single leg curl,hanging hamstring bridge curl_single leg,1.0
single leg curl,lying leg curl,0.9
single leg curl,standing leg curl_on multi-hip machine,0.8809523809523809
single leg curl,seated (chair or exercise ball)_single leg,0.8777777777777778
single leg curl,straight hip leg curl_single leg,1.0
single leg curl,hanging leg curl_straight hip,0.875
stiff leg deadlift,straight-leg deadlift,0.8861111111111111
stiff leg deadlift,straight-leg deadlift,0.8861111111111111
stiff leg deadlift,trap bar straight-leg deadlift,0.8861111111111111
stiff leg deadlift,straight-leg deadlift,0.8861111111111111
stiff leg deadlift,straight-leg deadlift,0.8861111111111111
stiff leg deadlift,straight-leg deadlift_straight-back,0.8861111111111111
stiff leg deadlift,straight-leg deadlift,0.8861111111111111
stiff leg deadlift,straight-leg deadlift_straight-back,0.8861111111111111
stiff leg deadlift,trap bar straight-leg deadlift_straight-back,0.8861111111111111
stiff leg deadlift,straight-leg deadlift_straight-back,0.8861111111111111
stiff leg deadlift,straight-leg deadlift_straight-back,0.8861111111111111
stiff leg deadlift,straight-leg deadlift_straight-back,0.8861111111111111
trap bar deficit deadlift,trap bar straight-leg deadlift,0.9226190476190476
trap bar deficit deadlift,trap bar straight-leg deadlift_straight-back,0.9226190476190476
hip adduction machine,lying hip adduction,0.890652557319224
hip adduction machine,seated hip adduction,0.890652557319224
hip adduction machine,standing hip adduction,0.890652557319224
hip adduction machine,seated hip adduction,0.890652557319224
hip adduction machine,lying hip adduction,0.890652557319224
hip adduction machine,lying hip adduction,0.890652557319224
hip adduction machine,hip adduction,0.890652557319224
hip adduction machine,standing leg curl_on multi-hip machine,0.890652557319224
banded trap bar deadlift,trap bar straight-leg deadlift,0.9166666666666666
banded trap bar deadlift,trap bar straight-leg deadlift_straight-back,0.9166666666666666
trap bar deadlift,trap bar straight-leg deadlift,1.0
trap bar deadlift,trap bar straight-leg deadlift_straight-back,1.0
exercise ball leg curl (shelc),seated (chair or exercise ball)_single leg,0.8873015873015871
valslide leg curl,standing leg curl_on leg extension machine,0.8670634920634921
valslide leg curl,inverse leg curl,0.8670634920634921
valslide leg curl,seated leg curl_single leg,0.8518518518518517
valslide leg curl,seated leg curl,0.8518518518518517
valslide leg curl,inverse leg curl,0.8670634920634921
valslide leg curl,lying leg curl_alternative machine,0.8670634920634921
valslide leg curl,seated leg curl_single leg,0.8518518518518517
valslide leg curl,inverse leg curl,0.8670634920634921
valslide leg curl,inverse leg curl_on floor,0.8670634920634921
valslide leg curl,lying leg curl_on reverse hyper-extension machine,0.8670634920634921
valslide leg curl,inverse leg curl,0.8670634920634921
valslide leg curl,seated leg curl,0.8518518518518517
valslide leg curl,hanging hamstring bridge curl_single leg,0.875
valslide leg curl,standing leg curl_on multi-hip machine,0.8670634920634921
plate resisted glute ham raise,glute-ham raise_hands behind hips,0.8833333333333332
plate resisted glute ham raise,glute-ham raise,0.8833333333333332
plate resisted glute ham raise,glute-ham raise,0.8833333333333332
plate resisted glute ham raise,glute-ham raise,0.8833333333333332
trap bar romanian deadlift,trap bar straight-leg deadlift,0.8958333333333334
trap bar romanian deadlift,trap bar straight-leg deadlift_straight-back,0.8958333333333334
standing cable hamstring curl,hanging hamstring bridge curl,0.8532738095238095
standing cable hamstring curl,hanging hamstring bridge curl_single leg,0.8532738095238095
hip abduction machine,lying hip adduction,0.8684303350970017
hip abduction machine,seated hip adduction,0.8684303350970017
hip abduction machine,standing hip adduction,0.8684303350970017
hip abduction machine,seated hip adduction,0.8684303350970017
hip abduction machine,lying hip adduction,0.8684303350970017
hip abduction machine,lying hip adduction,0.8684303350970017
hip abduction machine,hip adduction,0.8684303350970017
hip abduction machine,standing leg curl_on multi-hip machine,0.890652557319224
mixed grip chin up,chinup_parallel grip pull-up,0.8541666666666667
mixed grip chin up,chinup_parallel close grip pull-up,0.8541666666666667
mixed grip chin up,chin-up_neutral grip,0.8708333333333333
mixed grip chin up,chin-up_neutral grip,0.8708333333333333
mixed grip chin up,chin-up_neutral grip,0.8708333333333333
chin up,chin-up,1.0
chin up,chinup_rear pull-up,0.9666666666666667
chin up,chinup_parallel grip pull-up,0.9666666666666667
chin up,chin-up,1.0
chin up,chinup_parallel close grip pull-up,0.9666666666666667
chin up,chin-up_neutral grip,1.0
chin up,chin-up,1.0
chin up,chin-up_neutral grip,1.0
chin up,chin-up,1.0
chin up,chin-up_neutral grip,1.0
chin up,chinup_pull-up,0.9666666666666667
chin up,chin-up,1.0
close grip pull up,close grip pulldown_with stirrups,0.8708333333333333
close grip pull up,parallel close grip pull-up,1.0
close grip pull up,close grip pulldown,0.8708333333333333
close grip pull up,close grip pulldown_one arm,0.8708333333333333
close grip pull up,pull-up_neutral grip,0.8708333333333333
close grip pull up,pull-up_neutral grip,0.8708333333333333
close grip pull up,chinup_parallel grip pull-up,0.8708333333333333
close grip pull up,pull-up_parallel grip,0.8708333333333333
close grip pull up,chinup_parallel close grip pull-up,1.0
close grip pull up,parallel close grip pull-up_standing,1.0
close grip pull up,close grip pulldown_kneeling,0.8708333333333333
close grip pull up,close grip pulldown,0.8708333333333333
close grip pull up,parallel close grip pull-up,1.0
close grip pull up,parallel close grip pull-up,1.0
close grip pull up,close grip pulldown,0.8708333333333333
close grip pull up,pull-up_neutral grip,0.8708333333333333
close grip pull up,close grip pulldown_alternative machine,0.8708333333333333
close grip pull up,close grip pulldown_alternating,0.8708333333333333
pull up,pull-up,1.0
pull up,parallel close grip pull-up,1.0
pull up,chinup_rear pull-up,1.0
pull up,pull-up,1.0
pull up,pull-up_neutral grip,1.0
pull up,pull-up_neutral grip,1.0
pull up,chinup_parallel grip pull-up,1.0
pull up,rear pull-up,1.0
pull up,pull-up,1.0
pull up,pull-up_parallel grip,1.0
pull up,rear pull-up,1.0
pull up,rear pull-up,1.0
pull up,chinup_parallel close grip pull-up,1.0
pull up,rear pull-up,1.0
pull up,parallel close grip pull-up_standing,1.0
pull up,pull-up,1.0
pull up,pull-up,1.0
pull up,parallel close grip pull-up,1.0
pull up,parallel close grip pull-up,1.0
pull up,pull-up,1.0
pull up,chinup_pull-up,1.0
pull up,pull-up_neutral grip,1.0
pull up,pull-up_open centered-bar,1.0
pull up,pull-up_open-centered bar,1.0
pull up,pull-up_standing,1.0
pull up,pull-up_open-centered bar,1.0
pull up,pull-up_open centered,1.0
pull up,pull-up_self-assisted,1.0
pull up,pull-up,1.0
pull up,rear pull-up,1.0
close grip chin up,parallel close grip pull-up,0.875
close grip chin up,chinup_parallel grip pull-up,0.8541666666666667
close grip chin up,chinup_parallel close grip pull-up,0.9833333333333334
close grip chin up,parallel close grip pull-up_standing,0.875
close grip chin up,chin-up_neutral grip,0.8708333333333333
close grip chin up,parallel close grip pull-up,0.875
close grip chin up,chin-up_neutral grip,0.8708333333333333
close grip chin up,parallel close grip pull-up,0.875
close grip chin up,chin-up_neutral grip,0.8708333333333333
close grip chin up,close grip pulldown_alternative machine,0.8601190476190477
wide grip chin up,chinup_parallel grip pull-up,0.8583333333333334
wide grip chin up,chinup_parallel close grip pull-up,0.8583333333333334
wide grip chin up,chin-up_neutral grip,0.875
wide grip chin up,chin-up_neutral grip,0.875
wide grip chin up,chin-up_neutral grip,0.875
weighted pull up,pull-up_open centered-bar,0.8888888888888888
weighted pull up,pull-up_open-centered bar,0.8888888888888888
weighted pull up,pull-up_open-centered bar,0.8888888888888888
weighted pull up,pull-up_open centered,0.8888888888888888
weighted pull up,pull-up_self-assisted,0.8888888888888888
rope pull up,pull-up,0.8611111111111112
rope pull up,parallel close grip pull-up,0.8888888888888888
rope pull up,chinup_rear pull-up,0.8888888888888888
rope pull up,pull-up,0.8611111111111112
rope pull up,pull-up_neutral grip,0.8888888888888888
rope pull up,pull-up_neutral grip,0.8888888888888888
rope pull up,chinup_parallel grip pull-up,0.8888888888888888
rope pull up,rear pull-up,0.8888888888888888
rope pull up,pull-up,0.8611111111111112
rope pull up,pull-up_parallel grip,0.8888888888888888
rope pull up,rear pull-up,0.8888888888888888
rope pull up,rear pull-up,0.8888888888888888
rope pull up,chinup_parallel close grip pull-up,0.8888888888888888
rope pull up,rear pull-up,0.8888888888888888
rope pull up,parallel close grip pull-up_standing,0.8888888888888888
rope pull up,pull-up,0.8611111111111112
rope pull up,pull-up,0.8611111111111112
rope pull up,parallel close grip pull-up,0.8888888888888888
rope pull up,parallel close grip pull-up,0.8888888888888888
rope pull up,pull-up,0.8611111111111112
rope pull up,chinup_pull-up,0.8611111111111112
rope pull up,pull-up_neutral grip,0.8888888888888888
rope pull up,pull-up_open centered-bar,0.9444444444444445
rope pull up,pull-up_open-centered bar,0.9444444444444445
rope pull up,pull-up_standing,0.8611111111111112
rope pull up,pull-up_open-centered bar,0.9444444444444445
rope pull up,pull-up_open centered,0.9444444444444445
rope pull up,pull-up_self-assisted,0.8611111111111112
rope pull up,pull-up,0.8611111111111112
rope pull up,rear pull-up,0.8888888888888888
wide grip pull up,parallel close grip pull-up,0.875
wide grip pull up,pull-up_neutral grip,0.875
wide grip pull up,pull-up_neutral grip,0.875
wide grip pull up,chinup_parallel grip pull-up,0.875
wide grip pull up,pull-up_parallel grip,0.875
wide grip pull up,chinup_parallel close grip pull-up,0.875
wide grip pull up,parallel close grip pull-up_standing,0.875
wide grip pull up,parallel close grip pull-up,0.875
wide grip pull up,parallel close grip pull-up,0.875
wide grip pull up,pull-up_neutral grip,0.875
archer pull up,parallel close grip pull-up,0.875
archer pull up,chinup_rear pull-up,0.8796296296296297
archer pull up,chinup_parallel grip pull-up,0.875
archer pull up,rear pull-up,0.8796296296296297
archer pull up,pull-up_parallel grip,0.875
archer pull up,rear pull-up,0.8796296296296297
archer pull up,rear pull-up,0.8796296296296297
archer pull up,chinup_parallel close grip pull-up,0.875
archer pull up,rear pull-up,0.8796296296296297
archer pull up,parallel close grip pull-up_standing,0.875
archer pull up,parallel close grip pull-up,0.875
archer pull up,parallel close grip pull-up,0.875
archer pull up,chinup_pull-up,0.8518518518518517
archer pull up,pull-up_open centered-bar,0.8888888888888888
archer pull up,pull-up_open-centered bar,0.8888888888888888
archer pull up,pull-up_open-centered bar,0.8888888888888888
archer pull up,pull-up_open centered,0.875
archer pull up,rear pull-up,0.8796296296296297
grip ball pull ups,parallel close grip pull-up,0.9048611111111111
grip ball pull ups,pull-up_neutral grip,0.8944444444444444
grip ball pull ups,pull-up_neutral grip,0.8944444444444444
grip ball pull ups,chinup_parallel grip pull-up,0.9048611111111111
grip ball pull ups,pull-up_parallel grip,0.9048611111111111
grip ball pull ups,chinup_parallel close grip pull-up,0.9048611111111111
grip ball pull ups,parallel close grip pull-up_standing,0.9048611111111111
grip ball pull ups,parallel close grip pull-up,0.9048611111111111
grip ball pull ups,parallel close grip pull-up,0.9048611111111111
grip ball pull ups,pull-up_neutral grip,0.8944444444444444
single leg hip thrust,hip thrust_on lying leg curl machine,0.925
single leg hip thrust,single leg hip bridge,0.875
reverse hyperextension,reverse hyper-extension,0.9357142857142857
reverse hyperextension,reverse hyper-extension,0.9357142857142857
reverse hyperextension,reverse hyper-extension_on ball,0.9357142857142857
reverse hyperextension,reverse hyper-extension,0.9357142857142857
single leg glute bridge,single leg hip bridge,0.8777777777777778
banded good morning,bent knee good-morning,0.8703703703703703
banded good morning,bent knee good-morning,0.8703703703703703
banded good morning,bent knee good-morning_seated,0.8703703703703703
banded hip thruster,hip thrust_on lying leg curl machine,0.8642857142857143
good mornings,bent knee good-morning,0.9875
good mornings,bent knee good-morning,0.9875
good mornings,bent knee good-morning_seated,0.9875
seated good mornings,bent knee good-morning,0.862037037037037
seated good mornings,bent knee good-morning,0.862037037037037
seated good mornings,bent knee good-morning_seated,0.9916666666666667
barbell hip thrust,hip thrust_on lying leg curl machine,0.8650793650793651
hyperextension,reverse hyper-extension,0.8714285714285714
hyperextension,reverse hyper-extension,0.8714285714285714
hyperextension,reverse hyper-extension_on ball,0.8714285714285714
hyperextension,reverse hyper-extension,0.8714285714285714
bosu ball push up,decline push-up_on stability ball,0.8958333333333334
reverse grip incline bench press,incline bench press_parallel grip,0.9352380952380953
reverse grip incline bench press,incline bench press_parallel grip,0.9352380952380953
push up,depth push-up,1.0
push up,push-up_on bar,1.0
push up,decline push-up_on stability ball,1.0
push up,push-up_incline,1.0
push up,push-up_on handles,1.0
push up,push-up plus,1.0
push up,push-up,1.0
push up,push-up,1.0
push up,handstand push-up_on parallettes,1.0
push up,decline push-up,1.0
push up,pike push-up,1.0
push up,clap push-up,1.0
push up,handstand push-up,1.0
push up,push-up_on knees,1.0
chain fly,bent-over fly (iron cross)_alternative machine,0.9190476190476191
push up jacks,push-up_on handles,0.8539682539682539
alternating medicine ball push up,decline push-up_on stability ball,0.8637085137085136
reverse grip bench press,incline bench press_parallel grip,0.919047619047619
reverse grip bench press,incline bench press_parallel grip,0.919047619047619
reverse grip bench press,bench press_parallel grip,0.919047619047619
standing cable fly,standing incline fly,0.892063492063492
standing cable fly,decline fly_standing fly,0.892063492063492
incline dumbbell bench press,incline bench press_parallel grip,0.8680555555555556
incline dumbbell bench press,bench press_barbell machine,0.8735119047619048
incline dumbbell bench press,incline bench press_barbell machine,0.9449404761904762
incline dumbbell bench press,incline bench press_cable bar,0.8875
incline dumbbell bench press,incline bench press_parallel grip,0.8680555555555556
knee push-up,depth push-up,0.8708333333333333
knee push-up,push-up_on bar,0.8958333333333334
knee push-up,decline push-up_on stability ball,0.8958333333333334
knee push-up,push-up_incline,0.8660714285714286
knee push-up,push-up_on handles,0.8988095238095238
knee push-up,handstand push-up_on parallettes,0.8958333333333334
knee push-up,decline push-up,0.8660714285714286
knee push-up,pike push-up,0.9166666666666666
knee push-up,handstand push-up,0.8634259259259259
knee push-up,push-up_on knees,0.99
decline cable flys,bent-over fly (iron cross)_decline,0.8726190476190476
decline cable flys,decline fly,0.8726190476190476
decline cable flys,decline fly_lying fly,0.8726190476190476
decline cable flys,decline fly_seated fly,0.8726190476190476
decline cable flys,decline fly_standing fly,0.8726190476190476
decline cable flys,decline fly,0.8726190476190476
decline cable flys,bent-over fly (iron cross)_decline fly,0.8726190476190476
reverse dumbbell bench press,bench press_barbell machine,0.8639880952380952
reverse dumbbell bench press,incline bench press_barbell machine,0.8639880952380952
eccentric only push up,decline push-up_on stability ball,0.8891534391534391
eccentric only push up,push-up_on knees,0.8518518518518519
pec dec,bent-over fly (iron cross)_pec deck fly,0.9708333333333333
weighted chest dip,chest dip_between benches,0.8690476190476191
weighted chest dip,chest dip_assisted,0.8888888888888888
weighted chest dip,chest dip_kneeling,0.8611111111111112
weighted chest dip,chest dip_bent knees,0.8611111111111112
floor press,bench press_floor press,1.0
incline bench press,incline bench press_parallel grip,1.0
incline bench press,bench press_standing,0.8670634920634921
incline bench press,bench press_alternative machine,0.9047619047619048
incline bench press,incline bench press,1.0
incline bench press,bench press_barbell machine,0.9047619047619048
incline bench press,incline bench press,1.0
incline bench press,incline chest press_alternating,0.8539682539682539
incline bench press,decline bench press,0.9365079365079366
incline bench press,bench press,0.8539682539682539
incline bench press,bench press_alternating,0.8539682539682539
incline bench press,bench press_alternating,0.8539682539682539
incline bench press,incline bench press_barbell machine,1.0
incline bench press,bench press_standing,0.8670634920634921
incline bench press,incline bench press_cable bar,1.0
incline bench press,decline bench press,0.9365079365079366
incline bench press,incline chest press_parallel grip,0.8539682539682539
incline bench press,bench press_bar,0.8539682539682539
incline bench press,bench press_cable bar,0.892063492063492
incline bench press,standing incline chest press,0.8539682539682539
incline bench press,bench press_decline bench press,0.9365079365079366
incline bench press,bench press_with chains,0.8539682539682539
incline bench press,standing incline chest press_cable bar,0.8539682539682539
incline bench press,bench press,0.8539682539682539
incline bench press,bench press_floor press,0.8539682539682539
incline bench press,incline chest press,0.8539682539682539
incline bench press,bench press_cable bar,0.892063492063492
incline bench press,incline bench press,1.0
incline bench press,standing incline chest press_one arm,0.8539682539682539
incline bench press,bench press,0.8539682539682539
incline bench press,incline bench press,1.0
incline bench press,bench press_one arm,0.8539682539682539
incline bench press,incline chest press,0.8539682539682539
incline bench press,bench press_twisting,0.8670634920634921
incline bench press,incline chest press,0.8539682539682539
incline bench press,bench press_guillotine,0.9126984126984127
incline bench press,bench press_decline chest press,0.9365079365079366
incline bench press,bench press_chest press,0.8539682539682539
incline bench press,bench press_board press,0.8539682539682539
incline bench press,bench press,0.8539682539682539
incline bench press,decline bench press,0.9365079365079366
incline bench press,incline bench press_parallel grip,1.0
incline bench press,bench press_twisting standing chest press,0.8670634920634921
incline bench press,bench press,0.8539682539682539
incline bench press,incline bench press,1.0
incline bench press,incline chest press_on military press machine,0.8555555555555555
incline bench press,incline bench press,1.0
incline bench press,bench press_parallel grip,0.8539682539682539
incline bench press,bench press_chest press,0.8539682539682539
incline bench press,bench press_decline chest press,0.9365079365079366
incline bench press,bench press,0.8539682539682539
incline bench press,bench press_power lift,0.8539682539682539
decline cable chest press,incline chest press_alternating,0.8714285714285714
decline cable chest press,decline chest press_alternative machine,0.919047619047619
decline cable chest press,incline bench press_cable bar,0.8523809523809525
decline cable chest press,incline chest press_parallel grip,0.8714285714285714
decline cable chest press,standing incline chest press,0.8714285714285714
decline cable chest press,standing incline chest press_cable bar,0.9523809523809524
decline cable chest press,incline chest press,0.8714285714285714
decline cable chest press,standing incline chest press_one arm,0.8714285714285714
decline cable chest press,incline chest press,0.8714285714285714
decline cable chest press,incline chest press,0.8714285714285714
decline cable chest press,bench press_decline chest press,0.919047619047619
decline cable chest press,incline chest press_on military press machine,0.8714285714285714
decline cable chest press,bench press_decline chest press,0.919047619047619
decline cable chest press,decline chest press,0.919047619047619
eccentric only incline push up,decline push-up_on stability ball,0.8732275132275132
bench push-up,depth push-up,0.9
bench push-up,push-up_on bar,0.8916666666666666
bench push-up,decline push-up_on stability ball,0.8916666666666666
bench push-up,push-up_incline,0.8904761904761904
bench push-up,push-up_on handles,0.8916666666666666
bench push-up,push-up plus,0.8708333333333333
bench push-up,push-up,0.8708333333333333
bench push-up,push-up,0.8708333333333333
bench push-up,handstand push-up_on parallettes,0.8916666666666666
bench push-up,decline push-up,0.8904761904761904
bench push-up,pike push-up,0.8708333333333333
bench push-up,clap push-up,0.8708333333333333
bench push-up,handstand push-up,0.8708333333333333
bench push-up,push-up_on knees,0.8916666666666666
incline cable chest press,incline chest press_alternating,0.919047619047619
incline cable chest press,decline chest press_alternative machine,0.8714285714285714
incline cable chest press,incline bench press_cable bar,0.9
incline cable chest press,incline chest press_parallel grip,0.919047619047619
incline cable chest press,standing incline chest press,0.919047619047619
incline cable chest press,standing incline chest press_cable bar,1.0
incline cable chest press,incline chest press,0.919047619047619
incline cable chest press,standing incline chest press_one arm,0.919047619047619
incline cable chest press,incline chest press,0.919047619047619
incline cable chest press,incline chest press,0.919047619047619
incline cable chest press,bench press_decline chest press,0.8714285714285714
incline cable chest press,incline chest press_on military press machine,0.919047619047619
incline cable chest press,bench press_decline chest press,0.8714285714285714
incline cable chest press,decline chest press,0.8714285714285714
bench press against chains,bench press_alternative machine,0.8503968253968254
bench press against chains,bench press_barbell machine,0.8503968253968254
bench press against chains,incline bench press_barbell machine,0.8503968253968254
bench press against chains,bench press_with chains,0.9365079365079365
cable iron cross,bent-over fly (iron cross)_decline,0.892063492063492
cable iron cross,bent-over fly (iron cross)_seated iron cross,0.8592592592592593
cable iron cross,bent-over fly (iron cross)_decline fly,0.892063492063492
cable iron cross,bent-over fly (iron cross)_alternative machine,0.8747474747474747
cable iron cross,bent-over fly (iron cross)_seated fly,0.8592592592592593
incline push ups,decline push-up_on stability ball,0.906878306878307
incline push ups,push-up_incline,0.9703703703703703
incline push ups,decline push-up,0.906878306878307
incline push ups,one arm incline push,0.9351851851851851
exercise ball push up,decline push-up_on stability ball,0.9226190476190476
paused barbell bench press,bench press_barbell machine,0.8972222222222223
paused barbell bench press,incline bench press_barbell machine,0.8972222222222223
paused barbell bench press,incline bench press_cable bar,0.8638888888888889
paused barbell bench press,bench press_bar,0.8638888888888889
paused barbell bench press,bench press_cable bar,0.8638888888888889
paused barbell bench press,bench press_cable bar,0.8638888888888889
wide grip decline bench press,incline bench press_parallel grip,0.8619047619047618
wide grip decline bench press,incline bench press_parallel grip,0.8619047619047618
wide grip incline bench press,incline bench press_parallel grip,0.9
wide grip incline bench press,incline bench press_parallel grip,0.9
knuckle push up,decline push-up_on stability ball,0.873015873015873
knuckle push up,push-up_incline,0.9047619047619048
knuckle push up,push-up_on handles,0.873015873015873
knuckle push up,decline push-up,0.873015873015873
knuckle push up,push-up_on knees,0.8539682539682539
yoga push up,push-up_on bar,0.8611111111111112
yoga push up,decline push-up_on stability ball,0.8611111111111112
yoga push up,push-up_on handles,0.8611111111111112
yoga push up,handstand push-up_on parallettes,0.8611111111111112
yoga push up,push-up_on knees,0.8611111111111112
decline dumbbell bench press,bench press_barbell machine,0.8735119047619048
decline dumbbell bench press,decline bench press,0.8725198412698413
decline dumbbell bench press,incline bench press_barbell machine,0.8973214285714286
decline dumbbell bench press,decline bench press,0.8725198412698413
decline dumbbell bench press,bench press_decline bench press,0.8725198412698413
decline dumbbell bench press,bench press_decline chest press,0.8725198412698413
decline dumbbell bench press,decline bench press,0.8725198412698413
decline dumbbell bench press,bench press_decline chest press,0.8725198412698413
ring fly,bent-over fly (iron cross)_decline,0.8611111111111112
ring fly,decline fly_lying fly,0.8916666666666666
ring fly,bent-over fly (iron cross)_seated iron cross,0.8611111111111112
ring fly,bent-over fly (iron cross)_lying fly,0.8916666666666666
ring fly,bent-over fly (iron cross)_gripless,0.8611111111111112
ring fly,bent-over fly (iron cross)_pec deck fly,0.8611111111111112
ring fly,bent-over fly (iron cross),0.8611111111111112
ring fly,bent-over fly (iron cross)_decline fly,0.8611111111111112
ring fly,bent-over fly (iron cross)_alternative machine,0.8611111111111112
ring fly,bent-over fly (iron cross)_seated fly,0.8611111111111112
chest dip,incline chest press_parallel grip,0.8611111111111112
chest dip,chest dip,1.0
chest dip,chest dip_between benches,1.0
chest dip,chest dip,1.0
chest dip,chest dip_alternative machine,1.0
chest dip,standing chest dip_horizontal grip,1.0
chest dip,chest dip_assisted,1.0
chest dip,standing chest dip,1.0
chest dip,chest dip,1.0
chest dip,chest dip,1.0
chest dip,chest dip_kneeling,1.0
chest dip,chest dip,1.0
chest dip,chest dip,1.0
chest dip,chest dip,1.0
chest dip,chest dip,1.0
chest dip,wide grip chest press,0.8611111111111112
chest dip,chest dip,1.0
chest dip,chest dip_bent knees,1.0
barbell bench press,incline bench press_parallel grip,0.9043650793650794
barbell bench press,bench press_standing,0.8539682539682539
barbell bench press,bench press_alternative machine,0.8539682539682539
barbell bench press,incline bench press,0.8539682539682539
barbell bench press,bench press_barbell machine,1.0
barbell bench press,incline bench press,0.8539682539682539
barbell bench press,decline bench press,0.8539682539682539
barbell bench press,bench press,0.8539682539682539
