muscleNstrength,exRx,result,confidence
barbell lateral lunge,Barbell Lunge,True,0.7827380952380952
barbell lateral lunge,Barbell Rear Lunge,True,0.7982804232804233
barbell lateral lunge,Barbell Walking Lunge,True,0.798611111111111
front foot elevated smith machine split squat,Smith Front Squat,True,0.5881708238851096
front foot elevated smith machine split squat,Smith Split Squat,True,0.6049697656840514
double kettlebell split squat,Dumbbell Split Squat,True,0.7317987707535121
double kettlebell split squat,Split Squat,True,0.6029693486590039
double kettlebell split squat,Cable Split Squat,True,0.6627155172413793
trap bar deadlift,Trap Bar Straight Leg Deadlift,True,0.7375
trap bar deadlift,Trap Bar Straight-back Straight-leg Deadlift,True,0.6169733044733045
bodyweight lunge,Lunge,True,0.5541666666666667
seated leg curl,Lever Single Leg Seated Leg Curl,True,0.6965972222222222
seated leg curl,Lever Seated Leg Curl,True,0.8376984126984126
seated leg curl,Lever Standing Leg Curl,True,0.6634007648953302
seated leg curl,Suspended Leg Curl,True,0.7746913580246914
seated leg curl,Weighted Inverse Leg Curl,True,0.6607208994708995
single leg curl,Single Leg Hanging Hamstring Bridge Curl,True,0.6260141093474427
single leg curl,Lever Single Leg Seated Leg Curl,True,0.6965972222222222
single leg curl,Inverse Leg Curl,True,0.7894345238095237
single leg curl,Cable Lying Leg Curl,True,0.6958333333333333
single leg curl,Lever Lying Leg Curl,True,0.6993055555555556
single leg curl,Weighted Inverse Leg Curl,True,0.6486805555555555
zerchers squat,Barbell Zercher Squat,True,0.738938492063492
single leg one dumbbell deadlift,Dumbbell Straight Leg Deadlift,True,0.6803819444444444
cycled split squat jump,Split Squat,True,0.6510718599033817
ipsilateral load dumbbell rear lunge,Dumbbell Rear Lunge,True,0.6969065656565656
dumbbell jumping squat,Dumbbell Split Squat,True,0.7862193362193363
dumbbell jumping squat,Dumbbell Squat,True,0.7699314574314575
dumbbell split squat,Dumbbell Single Leg Split Squat,True,0.7520250896057348
dumbbell split squat,Dumbbell Split Squat,True,1.0
dumbbell split squat,Split Squat,True,0.7034722222222222
dumbbell split squat,Barbell Side Split Squat,True,0.7644097222222221
dumbbell split squat,Smith Split Squat,True,0.73125
dumbbell split squat,Dumbbell Squat,True,0.8166666666666667
dumbbell split squat,Barbell Split Squat,True,0.846626984126984
dumbbell step up,Dumbbell Lateral Step-up,True,0.7422619047619048
dumbbell step up,Dumbbell Step-up,True,0.90625
trap bar deficit deadlift,Trap Bar Straight Leg Deadlift,True,0.7684523809523809
machine hack squat,Barbell Hack Squat,True,0.746031746031746
machine hack squat,Smith Hack Squat,True,0.770899470899471
counterbalanced skater squat,Squat,True,0.5056878306878306
split squat,Dumbbell Split Squat,True,0.7284722222222222
split squat,Split Squat,True,1.0
split squat,Cable Split Squat,True,0.7790849673202616
split squat,Barbell Side Split Squat,True,0.6717261904761904
split squat,Smith Split Squat,True,0.8013071895424837
split squat,Squat,True,0.6621212121212121
split squat,Barbell Split Squat,True,0.7434419381787803
split squat,Smith Squat,True,0.7893939393939393
valslide leg curl,Inverse Leg Curl,True,0.7619631185807656
narrow squat,Squat,True,0.5986111111111111
stiff leg deadlift,Smith Straight Leg Deadlift,True,0.7105131172839505
barbell side split squat,Dumbbell Split Squat,True,0.7817708333333333
barbell side split squat,Barbell Squat,True,0.7135416666666667
barbell side split squat,Split Squat,True,0.6508928571428572
barbell side split squat,Safety Barbell Squat,True,0.6965277777777779
barbell side split squat,Barbell Side Split Squat,True,1.0
barbell side split squat,Barbell Split Squat,True,0.8729166666666666
barbell reverse lunge,Barbell Lunge,True,0.7619047619047619
barbell reverse lunge,Barbell Rear Lunge,True,0.8353174603174602
barbell hack squat,Barbell Squat,True,0.8087962962962963
barbell hack squat,Safety Barbell Squat,True,0.7486111111111111
barbell hack squat,Barbell Hack Squat,True,1.0
split snatch,Split Squat,True,0.7861111111111112
barbell lunge,Barbell Side Lunge,True,0.8087962962962963
barbell lunge,Barbell Lunge,True,1.0
barbell lunge,Barbell Rear Lunge,True,0.8042328042328043
barbell lunge,Barbell Walking Lunge,True,0.7619047619047619
barbell lunge,Lunge,True,0.5847985347985348
barbell lunge,Dumbbell Lunge,True,0.8080357142857142
one leg hack squat,Sled Hack Squat,True,0.7633101851851851
one leg hack squat,Sled Single Leg Hack Squat,True,0.7314102564102565
dumbbell lunge,Barbell Lunge,True,0.7782738095238095
dumbbell lunge,Dumbbell Walking Lunge,True,0.7645743145743147
dumbbell lunge,Dumbbell Side Lunge,True,0.8249269005847953
dumbbell lunge,Dumbbell Alternating Side Lunge,True,0.6648429863147605
dumbbell lunge,Lunge,True,0.5866071428571429
dumbbell lunge,Dumbbell Lunge,True,1.0
ipsilateral load split squat,Split Squat,True,0.6265827922077922
ipsilateral load split squat,Smith Split Squat,True,0.6549558080808081
barbell jumping squats,Barbell Squat,True,0.7302729677729678
walking barbell lunge,Barbell Lunge,True,0.746031746031746
walking barbell lunge,Dumbbell Walking Lunge,True,0.7511724386724385
walking barbell lunge,Barbell Walking Lunge,True,0.8015873015873016
smith machine stiff leg deadlift,Smith Straight Leg Deadlift,True,0.7695039682539682
split squat with banded adduction,Split Squat,True,0.5981481481481481
smith machine one leg squat,Smith Single Leg Squat,True,0.7832782186948855
smith machine one leg squat,Smith Single Leg Split Squat,True,0.7620634920634921
smith machine squat,Smith Split Squat,True,0.7748677248677248
smith machine squat,Smith Hack Squat,True,0.7921888053467001
smith machine squat,Smith Squat,True,0.7444583681425787
bodyweight side lunge,Dumbbell Side Lunge,True,0.7267857142857144
reverse lunge sled walk,Sled Rear Lunge,True,0.6027324879227053
barbell back squat,Barbell Squat,True,0.8181216931216931
barbell back squat,Safety Barbell Squat,True,0.7579365079365079
barbell back squat,Barbell Split Squat,True,0.8013575605680869
barbell back squat,Barbell Hack Squat,True,0.9444444444444444
dumbbell squat,Dumbbell Split Squat,True,0.8166666666666667
dumbbell squat,Barbell Squat,True,0.7782738095238095
dumbbell squat,Dumbbell Front Squat,True,0.7972222222222223
dumbbell squat,Safety Barbell Squat,True,0.6624503968253967
dumbbell squat,Squat,True,0.5730654761904761
dumbbell squat,Dumbbell Squat,True,1.0
double kettlebell front squat,Dumbbell Front Squat,True,0.7317987707535121
narrow smith machine squat,Smith Squat,True,0.6246871184371184
plie squat,Split Squat,True,0.8549242424242425
dumbbell walking lunge,Dumbbell Walking Lunge,True,1.0
dumbbell walking lunge,Barbell Walking Lunge,True,0.8572330447330447
dumbbell walking lunge,Dumbbell Lunge,True,0.7645743145743147
reverse grip incline bench cable row,Cable Incline Row,True,0.6052579365079365
incline bench two arm dumbbell row,Dumbbell Incline Row,True,0.6038865546218487
incline bench barbell row,Dumbbell Incline Row,True,0.6538343253968253
incline bench cable row,Cable Straight Back Incline Row,True,0.6101971326164874
incline bench cable row,Cable Incline Row,True,0.7117494824016564
