id,equipment,position
https://www.muscleandstrength.com/exercises/twisting-decline-sit-up.html,['bench'],['lay']
https://www.muscleandstrength.com/exercises/decline-abdominal-reach.html,['bench'],[]
https://www.muscleandstrength.com/exercises/decline-cable-knee-raise.html,"['bench', 'cable']",['lay']
https://www.muscleandstrength.com/exercises/seated-dumbbell-side-bends.html,[],['sit']
https://www.muscleandstrength.com/exercises/half-kneeling-pallof-press,['cable'],[]
https://www.muscleandstrength.com/exercises/medicine-ball-rollouts,[],[]
https://www.muscleandstrength.com/exercises/standing-cable-crunch.html,['cable'],['stand']
https://www.muscleandstrength.com/exercises/bottoms-up-kettlebell-turkish-get-up-to-hand,['kettlebell'],"['sit', 'supine', 'lie']"
https://www.muscleandstrength.com/exercises/weighted-exercise-ball-sit-up.html,[],['sit']
https://www.muscleandstrength.com/exercises/lying-leg-raise-with-hip-thrust.html,['bench'],"['sit', 'lay', 'lie']"
https://www.muscleandstrength.com/exercises/straight-leg-dead-bug,[],['supine']
https://www.muscleandstrength.com/exercises/exercise-ball-hip-roll.html,[],['lay']
https://www.muscleandstrength.com/exercises/weighted-hanging-knee-raise.html,"['bar', 'dumbbell']",['sit']
https://www.muscleandstrength.com/exercises/ipsilateral-bird-dog,[],[]
https://www.muscleandstrength.com/exercises/wall-press-straight-leg-extension,[],['supine']
https://www.muscleandstrength.com/exercises/decline-bench-cable-crunch.html,['bench'],[]
https://www.muscleandstrength.com/exercises/shoulder-taps,[],[]
https://www.muscleandstrength.com/exercises/medicine-ball-dead-bug,['physioball'],['supine']
https://www.muscleandstrength.com/exercises/dead-bug-with-plates,[],['supine']
https://www.muscleandstrength.com/exercises/seated-barbell-twist.html,[],['sit']
https://www.muscleandstrength.com/exercises/floor-barbell-twist.html,[],[]
https://www.muscleandstrength.com/exercises/wall-press-heel-tap,[],['supine']
https://www.muscleandstrength.com/exercises/abdominal-pendulum.html,[],['lay']
https://www.muscleandstrength.com/exercises/knee-tuck-to-heel-raise,[],"['supine', 'lay']"
https://www.muscleandstrength.com/exercises/lying-cable-crunch.html,[],['lay']
https://www.muscleandstrength.com/exercises/weighted-chair-knee-raise.html,['dumbbell'],['sit']
https://www.muscleandstrength.com/exercises/contralateral-bird-dog,[],[]
https://www.muscleandstrength.com/exercises/decline-bench-alternate-leg-raise.html,['bench'],['lay']
https://www.muscleandstrength.com/exercises/bottoms-up-kettlebell-turkish-get-up,['kettlebell'],"['sit', 'stand', 'supine', 'lie']"
https://www.muscleandstrength.com/exercises/chair-twisting-knee-raise.html,[],[]
https://www.muscleandstrength.com/exercises/reverse-crunch-to-dead-bug,['kettlebell'],['supine']
https://www.muscleandstrength.com/exercises/3-month-position-kettlebell-pullover,['kettlebell'],['supine']
https://www.muscleandstrength.com/exercises/wide-stance-cable-anti-rotation,['cable'],[]
https://www.muscleandstrength.com/exercises/upper-body-band-resisted-dead-bug,[],['supine']
https://www.muscleandstrength.com/exercises/one-leg-lying-cable-knee-raise.html,"['bench', 'cable']","['sit', 'lay', 'lie']"
https://www.muscleandstrength.com/exercises/alternate-reach-and-catch.html,[],['lay']
https://www.muscleandstrength.com/exercises/lying-pallof-press,['cable'],['supine']
https://www.muscleandstrength.com/exercises/wall-press-90-90-extension,[],['supine']
https://www.muscleandstrength.com/exercises/weighted-side-touches.html,['bench'],['lay']
https://www.muscleandstrength.com/exercises/lying-alternate-knee-raise.html,[],['lay']
https://www.muscleandstrength.com/exercises/kettlebell-windmill,['kettlebell'],['stand']
https://www.muscleandstrength.com/exercises/twisting-cable-crunch.html,[],['stand']
https://www.muscleandstrength.com/exercises/split-stance-pallof-press,['cable'],[]
https://www.muscleandstrength.com/exercises/valslide-body-saw,[],[]
https://www.muscleandstrength.com/exercises/swiss-ball-hover.html,[],[]
https://www.muscleandstrength.com/exercises/decline-bench-knee-raise.html,['bench'],['lay']
https://www.muscleandstrength.com/exercises/tall-kneeling-push-pull,['cable'],[]
https://www.muscleandstrength.com/exercises/twisting-lying-cable-crunch.html,[],['lay']
https://www.muscleandstrength.com/exercises/kneeling-dumbbell-hold-to-stand,[],['stand']
https://www.muscleandstrength.com/exercises/lying-cable-knee-raise.html,"['bench', 'cable']","['sit', 'lay', 'lie']"
https://www.muscleandstrength.com/exercises/dragon-flag,['bench'],['supine']
https://www.muscleandstrength.com/exercises/horizontal-leg-raise.html,[],[]
https://www.muscleandstrength.com/exercises/seated-cable-crunch.html,"['bench', 'cable']","['stand', 'sit']"
https://www.muscleandstrength.com/exercises/stir-the-pot-on-exercise-ball,['physioball'],[]
https://www.muscleandstrength.com/exercises/lower-body-band-resistance-dead-bug,[],['supine']
https://www.muscleandstrength.com/exercises/hands-overhead-ab-crunch,[],"['supine', 'lay']"
https://www.muscleandstrength.com/exercises/reach-and-catch.html,[],['lay']
