name,relation,anatomy
upward facing two-foot staff pose,TARGETS,lungs
upward facing two-foot staff pose,TARGETS,neck
upward facing two-foot staff pose,TARGETS,arms
upward facing two-foot staff pose,TARGETS,heart
warrior 3 pose,TARGETS,hamstrings
wide-legged forward bend,TARGETS,hamstrings
supported shoulderstand,TARGETS,gluteus maximus
supported shoulderstand,TARGETS,lungs
warrior 1 pose,TARGETS,neck
standing forward bend,TARGETS,kidneys
standing forward bend,TARGETS,hamstrings
standing forward bend,TARGETS,knees
upward-facing dog pose,TARGETS,gluteus maximus
upward-facing dog pose,TARGETS,flexors
upward-facing dog pose,TARGETS,lungs
upward-facing dog pose,TARGETS,wrists
side crow pose,TARGETS,back
side crow pose,TARGETS,flexors
side crow pose,TARGETS,wrists
side crow pose,TARGETS,kidneys
side crow pose,TARGETS,arms
side crow pose,TARGETS,hands
seated forward bend,TARGETS,kidneys
seated forward bend,TARGETS,pelvis
seated forward bend,TARGETS,hamstrings
seated forward bend,TARGETS,back
revolved triangle pose,TARGETS,legs
revolved triangle pose,TARGETS,ankles
revolved triangle pose,TARGETS,back
standing split,TARGETS,kidneys
standing split,TARGETS,hamstrings
standing split,TARGETS,knees
revolved head-to-knee pose,TARGETS,kidneys
revolved head-to-knee pose,TARGETS,hamstrings
supported headstand,TARGETS,legs
supported headstand,TARGETS,pelvis
supported headstand,TARGETS,gluteus maximus
supported headstand,TARGETS,arms
pose dedicated to the sage koundinya i,TARGETS,abs
pose dedicated to the sage koundinya i,TARGETS,back
pose dedicated to the sage koundinya i,TARGETS,flexors
pose dedicated to the sage koundinya i,TARGETS,wrists
pose dedicated to the sage koundinya i,TARGETS,arms
pose dedicated to the sage koundinya i,TARGETS,shoulders
pose dedicated to the sage koundinya i,TARGETS,hands
plow pose,TARGETS,shoulders
side plank pose,TARGETS,wrists
side plank pose,TARGETS,gluteus maximus
side plank pose,TARGETS,arms
side plank pose,TARGETS,hands
scale pose,TARGETS,knees
scale pose,TARGETS,wrists
scale pose,TARGETS,flexors
scale pose,TARGETS,hands
one-legged king pigeon pose,TARGETS,knees
one-legged king pigeon pose,TARGETS,flexors
one-legged king pigeon pose,TARGETS,hips
mountain pose,TARGETS,legs
mountain pose,TARGETS,ankles
mountain pose,TARGETS,knees
mountain pose,TARGETS,back
mountain pose,TARGETS,gluteus maximus
plank pose,TARGETS,abs
plank pose,TARGETS,wrists
plank pose,TARGETS,arms
plank pose,TARGETS,hands
marichi's pose,TARGETS,shoulders
marichi's pose,TARGETS,abs
marichi's pose,TARGETS,back
marichi's pose,TARGETS,hips
revolved side angle pose,TARGETS,legs
revolved side angle pose,TARGETS,ankles
revolved side angle pose,TARGETS,hamstrings
revolved side angle pose,TARGETS,flexors
revolved side angle pose,TARGETS,lungs
lotus pose,TARGETS,ankles
lotus pose,TARGETS,pelvis
lotus pose,TARGETS,knees
peacock pose,TARGETS,legs
peacock pose,TARGETS,abs
peacock pose,TARGETS,wrists
peacock pose,TARGETS,gluteus maximus
peacock pose,TARGETS,arms
peacock pose,TARGETS,hands
side-reclining leg lift,TARGETS,pelvis
side-reclining leg lift,TARGETS,hamstrings
legs up the wall pose,TARGETS,legs
legs up the wall pose,TARGETS,neck
pigeon pose,TARGETS,thighs
pigeon pose,TARGETS,abs
pigeon pose,TARGETS,back
pigeon pose,TARGETS,flexors
pigeon pose,TARGETS,pelvis
pigeon pose,TARGETS,gluteus maximus
pigeon pose,TARGETS,lungs
pigeon pose,TARGETS,hips
pigeon pose,TARGETS,kidneys
pigeon pose,TARGETS,neck
pigeon pose,TARGETS,arms
pigeon pose,TARGETS,shoulders
pigeon pose,TARGETS,heart
"high lunge, crescent variation",TARGETS,thighs
"high lunge, crescent variation",TARGETS,abs
"high lunge, crescent variation",TARGETS,ankles
"high lunge, crescent variation",TARGETS,flexors
"high lunge, crescent variation",TARGETS,neck
"high lunge, crescent variation",TARGETS,belly
one-legged king pigeon pose ii,TARGETS,abs
one-legged king pigeon pose ii,TARGETS,ankles
one-legged king pigeon pose ii,TARGETS,flexors
one-legged king pigeon pose ii,TARGETS,hips
one-legged king pigeon pose ii,TARGETS,neck
monkey pose,TARGETS,thighs
monkey pose,TARGETS,hamstrings
monkey pose,TARGETS,flexors
monkey pose,TARGETS,shoulders
dancer pose,TARGETS,thighs
dancer pose,TARGETS,legs
dancer pose,TARGETS,ankles
dancer pose,TARGETS,knees
dancer pose,TARGETS,abs
dancer pose,TARGETS,flexors
dancer pose,TARGETS,pelvis
dancer pose,TARGETS,lungs
dancer pose,TARGETS,kidneys
dancer pose,TARGETS,shoulders
low lunge,TARGETS,thighs
low lunge,TARGETS,neck
low lunge,TARGETS,lungs
low lunge,TARGETS,flexors
hero pose,TARGETS,thighs
hero pose,TARGETS,ankles
hero pose,TARGETS,knees
hero pose,TARGETS,back
hero pose,TARGETS,belly
head-to-knee pose,TARGETS,thighs
head-to-knee pose,TARGETS,hamstrings
head-to-knee pose,TARGETS,back
head-to-knee pose,TARGETS,pelvis
head-to-knee pose,TARGETS,kidneys
locust pose,TARGETS,thighs
locust pose,TARGETS,hamstrings
locust pose,TARGETS,back
locust pose,TARGETS,gluteus maximus
locust pose,TARGETS,lungs
locust pose,TARGETS,neck
locust pose,TARGETS,arms
happy baby pose,TARGETS,gluteus maximus
happy baby pose,TARGETS,hips
half moon pose,TARGETS,thighs
half moon pose,TARGETS,abs
half moon pose,TARGETS,ankles
half moon pose,TARGETS,knees
half moon pose,TARGETS,spine
half moon pose,TARGETS,shoulders
half moon pose,TARGETS,belly
rope pose,TARGETS,abs
rope pose,TARGETS,ankles
rope pose,TARGETS,knees
rope pose,TARGETS,pelvis
rope pose,TARGETS,hips
rope pose,TARGETS,kidneys
rope pose,TARGETS,shoulders
half lord of the fishes pose,TARGETS,back
half lord of the fishes pose,TARGETS,hips
half lord of the fishes pose,TARGETS,kidneys
half lord of the fishes pose,TARGETS,neck
half lord of the fishes pose,TARGETS,spine
half frog pose,TARGETS,thighs
half frog pose,TARGETS,legs
half frog pose,TARGETS,ankles
half frog pose,TARGETS,knees
half frog pose,TARGETS,back
half frog pose,TARGETS,abs
half frog pose,TARGETS,pelvis
half frog pose,TARGETS,gluteus maximus
half frog pose,TARGETS,lungs
half frog pose,TARGETS,hips
half frog pose,TARGETS,heart
half frog pose,TARGETS,kidneys
half frog pose,TARGETS,spine
half frog pose,TARGETS,arms
half frog pose,TARGETS,shoulders
half frog pose,TARGETS,belly
pyramid pose,TARGETS,legs
pyramid pose,TARGETS,hamstrings
pyramid pose,TARGETS,wrists
garland pose,TARGETS,thighs
garland pose,TARGETS,legs
garland pose,TARGETS,ankles
garland pose,TARGETS,knees
garland pose,TARGETS,back
garland pose,TARGETS,pelvis
garland pose,TARGETS,spine
garland pose,TARGETS,belly
garland pose,TARGETS,hands
firefly pose,TARGETS,thighs
firefly pose,TARGETS,legs
firefly pose,TARGETS,abs
firefly pose,TARGETS,hamstrings
firefly pose,TARGETS,back
firefly pose,TARGETS,flexors
firefly pose,TARGETS,wrists
firefly pose,TARGETS,arms
firefly pose,TARGETS,shoulders
firefly pose,TARGETS,belly
firefly pose,TARGETS,hands
handstand,TARGETS,legs
handstand,TARGETS,wrists
handstand,TARGETS,lungs
handstand,TARGETS,arms
handstand,TARGETS,spine
handstand,TARGETS,shoulders
handstand,TARGETS,hands
high lunge,TARGETS,thighs
high lunge,TARGETS,legs
high lunge,TARGETS,flexors
heron pose,TARGETS,ankles
heron pose,TARGETS,hamstrings
heron pose,TARGETS,knees
heron pose,TARGETS,hips
extended puppy pose,TARGETS,abs
extended puppy pose,TARGETS,back
extended puppy pose,TARGETS,lungs
extended puppy pose,TARGETS,spine
extended puppy pose,TARGETS,shoulders
extended puppy pose,TARGETS,heart
extended triangle pose,TARGETS,thighs
extended triangle pose,TARGETS,legs
extended triangle pose,TARGETS,abs
extended triangle pose,TARGETS,knees
extended triangle pose,TARGETS,back
extended triangle pose,TARGETS,hips
extended triangle pose,TARGETS,neck
extended triangle pose,TARGETS,spine
extended triangle pose,TARGETS,belly
eagle pose,TARGETS,thighs
eagle pose,TARGETS,ankles
eagle pose,TARGETS,hips
eagle pose,TARGETS,shoulders
four-limbed staff pose,TARGETS,abs
four-limbed staff pose,TARGETS,wrists
four-limbed staff pose,TARGETS,arms
four-limbed staff pose,TARGETS,belly
four-limbed staff pose,TARGETS,hands
gate pose,TARGETS,abs
gate pose,TARGETS,hamstrings
gate pose,TARGETS,lungs
