name,relation,equipment
weighted exercise ball wall squat,USES,exercise ball
alternate seated arnold press,USES,dumbbell
alternate seated arnold press,USES,bench
lateral raise partials,USES,dumbbell
lying dumbbell curl,USES,dumbbell
reverse grip skull crusher,USES,bar
reverse grip skull crusher,USES,barbell
one-arm lying dumbbell extension,USES,dumbbell
one-arm seated dumbbell kickback,USES,dumbbell
reverse lunge elbow to instep with rotation,USES,bodyweight
narrow squat,USES,bar
narrow squat,USES,barbell
ez bar reverse grip preacher curl,USES,ez bar
ez bar reverse grip preacher curl,USES,bar
ez bar reverse grip preacher curl,USES,bench
standing smith machine wrist curl (behind back),USES,smith machine
standing smith machine wrist curl (behind back),USES,smith machine
decline abdominal reach,USES,bodyweight
decline abdominal reach,USES,bench
decline bench leg raise,USES,bodyweight
decline bench leg raise,USES,bench
standing barbell twist,USES,barbell
half kneeling push-pull,USES,cable
reach and catch,USES,bodyweight
safety bar squat,USES,safety bar
safety bar squat,USES,bar
incline cable tricep extension (rope extension),USES,cable
eccentric only dip,USES,bodyweight
reverse one-arm cable tricep extension,USES,cable
offset single kettlebell front squat,USES,kettlebell
offset single kettlebell front squat,USES,kettle bells
split squat with iso-hold,USES,bodyweight
hands overhead ab crunch,USES,bodyweight
lower body band resistance dead bug,USES,bands
lying cable knee raise,USES,cable
lying cable knee raise,USES,bench
tall kneeling push-pull,USES,cable
exercise ball dip,USES,exercise ball
45 degree lying tricep extension (ez bar),USES,ez bar
narrow stance high bar back squat,USES,bar
narrow stance high bar back squat,USES,barbell
snatch,USES,bar
snatch,USES,barbell
barbell reverse lunge,USES,barbell
decline bench knee raise,USES,bodyweight
decline bench knee raise,USES,bench
double kettlebell front squat,USES,kettlebell
double kettlebell front squat,USES,kettle bells
2 kb kettlebell snatch,USES,kettlebell
2 kb kettlebell snatch,USES,kettle bells
ipsilateral load dumbbell front lunge,USES,dumbbell
reverse lunge with lateral flexion,USES,bodyweight
pit shark belt squat,USES,belt
pit shark belt squat,USES,pit shark belt squat machine
smith machine zercher squat,USES,smith machine
smith machine zercher squat,USES,smith machine
power jerk,USES,bar
power jerk,USES,barbell
1/4 squat,USES,bar
1/4 squat,USES,barbell
landmine reverse lunge,USES,landmine
landmine reverse lunge,USES,barbell
split squat with banded adduction,USES,bands
one arm seated reverse dumbbell wrist curl,USES,dumbbell
kettlebell single arm racked carry,USES,kettlebell
kettlebell single arm racked carry,USES,kettle bells
one arm neutral dumbbell wrist curl over bench,USES,dumbbell
reverse grip preacher curl,USES,bar
reverse grip preacher curl,USES,barbell
reverse grip preacher curl,USES,bench
seated neutral dumbbell wrist curl,USES,dumbbell
overhead barbell carry,USES,bar
overhead barbell carry,USES,barbell
one arm reverse dumbbell wrist curl over bench,USES,dumbbell
seated reverse barbell wrist curl,USES,bar
seated reverse barbell wrist curl,USES,barbell
dumbbell farmers carry,USES,dumbbell
seated reverse dumbbell wrist curl,USES,dumbbell
trap bar farmers carry,USES,trap bar
trap bar farmers carry,USES,bar
reverse concentration curl,USES,dumbbell
barbell suitcase carry,USES,bar
barbell suitcase carry,USES,barbell
seated dumbbell wrist curl,USES,dumbbell
trap bar overhead carry,USES,trap bar
trap bar overhead carry,USES,bar
kettlebell dead bug,USES,kettle bells
lying alternate knee raise,USES,bodyweight
alternate reach and catch,USES,bodyweight
abdominal pendulum,USES,bodyweight
lying knee tuck to heel raise,USES,bodyweight
wall press 90/90 extension,USES,bodyweight
lying bench leg raise,USES,bodyweight
weighted side touches,USES,bench
weighted side touches,USES,other
overhead tricep extension sled drag,USES,sled
lying cable crunch,USES,cable
wall press heel tap,USES,bodyweight
lying pallof press,USES,cable
3 month position kettlebell pullover,USES,kettlebell
3 month position kettlebell pullover,USES,kettle bells
inline bench french press,USES,bar
inline bench french press,USES,barbell
standing two-arm tricep cable extension,USES,cable
floor barbell twist,USES,barbell
pallof press with rotation,USES,cable
medicine ball dead bug,USES,physioball
medicine ball dead bug,USES,medicine ball
twisting bench crunch,USES,bodyweight
twisting dumbbell bench press,USES,bench press machine
reverse grip one-arm standing overhead cable tricep extension,USES,cable
seated barbell twist,USES,barbell
wall press straight leg extension,USES,bodyweight
close grip pin press,USES,bar
close grip pin press,USES,barbell
banded skullcrusher,USES,bar
banded skullcrusher,USES,bands
dead bug with plates,USES,other
decline bench cable crunch,USES,cable
decline bench cable crunch,USES,bench
shoulder taps,USES,bodyweight
close grip press behind the neck,USES,bar
close grip press behind the neck,USES,barbell
exercise ball french press,USES,barbell
exercise ball french press,USES,bar
exercise ball french press,USES,exercise ball
high pulley overhead tricep extension,USES,cable
high pulley overhead tricep extension,USES,bar
dumbbell tate press,USES,dumbbell
exercise ball hip roll,USES,exercise ball
medicine ball rollouts,USES,medicine ball
alternate lying dumbbell extension,USES,dumbbell
alternate lying dumbbell extension,USES,bench
sphinx push up,USES,bodyweight
twisting decline sit up,USES,bodyweight
twisting decline sit up,USES,bench
frog sit up,USES,bodyweight
triceps lacrosse ball,USES,lacrosse ball
exercise ball two-arm dumbbell extension,USES,dumbbell
reverse grip french press,USES,bar
reverse grip french press,USES,barbell
seated dumbbell side bends,USES,dumbbell
banded alphabet,USES,bands
alternate straight leg lower,USES,bodyweight
two arm cable tricep kickback,USES,cable
seated ez bar french press,USES,ez bar
seated ez bar french press,USES,bar
one-arm seated bent-over dumbbell kickback,USES,dumbbell
seated low pulley overhead tricep extension (rope extension),USES,cable
seated low pulley overhead tricep extension (rope extension),USES,bench
decline cable knee raise,USES,cable
decline cable knee raise,USES,bench
standing push-pull,USES,cable
exercise ball leg tuck,USES,exercise ball
exercise ball dead bug,USES,physioball
exercise ball dead bug,USES,exercise ball
exercise ball one-arm dumbbell extension,USES,dumbbell
exercise ball one-arm dumbbell extension,USES,exercise ball
decline lying tricep extension (skullcrusher),USES,ez bar
decline lying tricep extension (skullcrusher),USES,bar
decline lying dumbbell extension,USES,dumbbell
one-arm seated overhead tricep extension,USES,cable
one-arm seated overhead tricep extension,USES,bench
seated low pulley overhead tricep extension,USES,cable
seated low pulley overhead tricep extension,USES,bar
seated low pulley overhead tricep extension,USES,bench
decline bench alternate knee raise,USES,bodyweight
decline bench alternate knee raise,USES,bench
alternating dumbbell floor press,USES,dumbbell
three bench dip,USES,bodyweight
incline dumbbell tricep extension,USES,dumbbell
overhead banded tricep extension,USES,bands
reverse grip one-arm seated overhead tricep extension,USES,cable
reverse grip one-arm seated overhead tricep extension,USES,bench
close grip ez bar press,USES,ez bar
close grip ez bar press,USES,bar
kettlebell floor press,USES,kettle bells
alternate seated bent-over dumbbell kickback,USES,dumbbell
exercise ball plank,USES,exercise ball
smith machine close grip bench press,USES,smith machine
smith machine close grip bench press,USES,smith machine
decline close grip bench press,USES,bench press machine
decline close grip bench press,USES,bench press machine
cable concentration tricep extension,USES,cable
seated bent over tricep dumbbell kickback,USES,dumbbell
twisting floor crunch,USES,bodyweight
twisting cable crunch,USES,cable
kettlebell windmill,USES,kettlebell
kettlebell windmill,USES,kettle bells
one-arm standing overhead cable tricep extension,USES,cable
california skullcrusher,USES,ez bar
california skullcrusher,USES,bar
upper body band resistance dead bug,USES,bands
smith machine incline tricep extension,USES,smith machine
smith machine incline tricep extension,USES,smith machine
smith machine incline tricep extension,USES,smith machine
kneeling overhead tricep extension over flat bench,USES,cable
kneeling overhead tricep extension over flat bench,USES,bar
kneeling overhead tricep extension over flat bench,USES,bench
reverse grip cable tricep kickback,USES,cable
rolling dumbbell extension,USES,dumbbell
rolling dumbbell extension,USES,bench
ring dip,USES,rings
lying single dumbbell extension,USES,dumbbell
weighted bench dip,USES,bench
weighted bench dip,USES,other
close grip chest press,USES,bar
close grip chest press,USES,barbell
lying barbell reverse extension,USES,bar
lying barbell reverse extension,USES,barbell
lying on floor tricep extension (rope extension),USES,cable
smith machine reverse close grip bench press,USES,smith machine
standing overhead ez bar tricep extension,USES,ez bar
standing overhead ez bar tricep extension,USES,bar
alternate bent-over dumbbell kickback,USES,dumbbell
seated high barbell front raise,USES,bar
seated high barbell front raise,USES,barbell
half kneeling landmine press,USES,landmine
half kneeling landmine press,USES,barbell
exercise ball barbell press,USES,barbell
exercise ball barbell press,USES,bar
exercise ball barbell press,USES,exercise ball
modified handstand push up (off box),USES,box
one arm seated palms in dumbbell press,USES,dumbbell
one arm seated palms in dumbbell press,USES,bench
seated one arm dumbbell lateral raise,USES,dumbbell
one arm seated arnold press,USES,dumbbell
one arm seated arnold press,USES,bench
tall kneeling one arm bottoms up kettlebell press,USES,kettlebell
tall kneeling one arm bottoms up kettlebell press,USES,kettle bells
one arm cable front raise,USES,cable
rotational medicine ball throw,USES,medicine ball
lying rear delt barbell raise,USES,bar
lying rear delt barbell raise,USES,barbell
lying rear delt barbell raise,USES,bench
back to wall shoulder flexion,USES,bodyweight
kettlebell angled press,USES,kettlebell
kettlebell angled press,USES,kettle bells
side lying rear delt fly,USES,dumbbell
one arm standing palms in dumbbell press,USES,dumbbell
kettlebell halo,USES,kettlebell
kettlebell halo,USES,kettle bells
rotational medicine ball shuffle into shot put,USES,medicine ball
single arm banded external rotation,USES,bands
alternate seated bent over dumbbell reverse fly,USES,dumbbell
lateral slam battling rope,USES,rope
kettlebell arm bar,USES,kettlebell
kettlebell arm bar,USES,kettle bells
one arm seated bent over dumbbell reverse fly,USES,dumbbell
half kneeling battling rope,USES,rope
one arm dumbbell rear delt fly on incline bench,USES,dumbbell
double arm circles battling ropes,USES,rope
exercise ball lateral raise,USES,dumbbell
exercise ball lateral raise,USES,exercise ball
arm circles,USES,bodyweight
lunge jump with alternating waves battling ropes,USES,rope
dumbbell 6 ways (raise),USES,dumbbell
alternate seated palms in dumbbell press,USES,dumbbell
alternate seated palms in dumbbell press,USES,bench
bench supported dumbbell external rotation,USES,dumbbell
one arm dumbbell front raise on incline bench,USES,dumbbell
alternate dumbbell lateral raise,USES,dumbbell
alternate lying dumbbell reverse fly,USES,dumbbell
alternate lying dumbbell reverse fly,USES,bench
alternating waves with kneeling get ups battling ropes,USES,rope
cable external rotation,USES,cable
cable external rotation,USES,cable external rotation machine
half kneeling bottoms up kettlebell press,USES,kettlebell
half kneeling bottoms up kettlebell press,USES,kettle bells
one arm lying dumbbell reverse fly,USES,dumbbell
one arm lying dumbbell reverse fly,USES,bench
no counter movement rotational medicine ball throw,USES,medicine ball
forearm wall slide,USES,bodyweight
step behind rotational medicine ball throw,USES,medicine ball
landmine thruster,USES,landmine
landmine thruster,USES,barbell
one arm seated dumbbell front raise,USES,dumbbell
one arm seated dumbbell front raise,USES,bench
seated barbell front raise,USES,bar
seated barbell front raise,USES,barbell
one arm standing arnold press,USES,dumbbell
pronated 90 degree band pull apart,USES,bands
barbell overhead front raise,USES,barbell
shoulder to shoulder press,USES,landmine
banded upright row,USES,bands
back to wall alternating shoulder flexion,USES,bodyweight
one arm cable reverse fly,USES,cable
seated cuban press,USES,dumbbell
seated cuban press,USES,bench
anti-gravity press,USES,ez bar
anti-gravity press,USES,bar
anti-gravity press,USES,bench
one arm standing dumbbell press,USES,dumbbell
half kneeling dumbbell press,USES,dumbbell
standing bradford press (rocky press),USES,bar
standing bradford press (rocky press),USES,barbell
face pulls on rings,USES,rings
rotational medicine ball step behind shot put,USES,medicine ball
banded lateral raise,USES,bands
one arm bent over dumbbell reverse fly,USES,dumbbell
banded bent over reverse fly,USES,bands
seated alternate dumbbell lateral raise,USES,dumbbell
cable face pull with external rotation,USES,cable
bent over rear delt fly (head on bench),USES,dumbbell
bent over rear delt fly (head on bench),USES,bench
clean press,USES,bar
clean press,USES,barbell
3-d band pull apart,USES,bands
power slam battling rope,USES,rope
exercise ball dumbbell press,USES,dumbbell
exercise ball dumbbell press,USES,exercise ball
banded shoulder dislocates,USES,bands
reverse lunge with alternating waves battling ropes,USES,rope
alternate standing dumbbell front raise,USES,dumbbell
prone incline dumbbell curl,USES,dumbbell
alternate standing dumbbell press,USES,dumbbell
alternate seated dumbbell front raise,USES,dumbbell
alternate seated dumbbell front raise,USES,bench
half kneeling kettlebell press,USES,kettlebell
half kneeling kettlebell press,USES,kettle bells
standing dublin press,USES,dumbbell
shuffle into rotational medicine ball throw,USES,medicine ball
lying single arm trap raise,USES,bodyweight
lying shoulder press,USES,dumbbell
one arm seated dumbbell press,USES,dumbbell
one arm seated dumbbell press,USES,bench
lying barbell curl on incline bench,USES,barbell
lying barbell curl on incline bench,USES,bench
cable preacher curl,USES,cable
cable preacher curl,USES,bar
cable preacher curl,USES,bench
alternate seated hammer curl,USES,dumbbell
reverse flys on rings,USES,rings
lying dumbbell reverse fly,USES,dumbbell
lying dumbbell reverse fly,USES,bench
jumping jacks battling ropes,USES,rope
scapular wall slide,USES,bodyweight
smith machine shoulder press behind neck,USES,smith machine
smith machine shoulder press behind neck,USES,smith machine
smith machine shoulder press behind neck,USES,smith machine
smith machine shoulder press behind neck,USES,smith machine
half kneeling banded external rotation,USES,bands
trap bar shoulder press,USES,trap bar
trap bar shoulder press,USES,barbell
trap bar shoulder press,USES,bar
seated kettlebell press,USES,kettlebell
seated kettlebell press,USES,kettle bells
bicep curl sled drag,USES,sled
incline bench dumbbell curl,USES,dumbbell
incline bench dumbbell curl,USES,bench
lying cable curl (floor),USES,cable
lying cable curl (floor),USES,bar
exercise ball dumbbell curl,USES,dumbbell
bus drivers,USES,other
supinated 90 degree band pull apart,USES,bands
"standing external rotation (""no money drill"")",USES,bands
reverse fly sled drag,USES,sled
seated hammer curl,USES,dumbbell
incline bench hammer curl,USES,dumbbell
incline bench hammer curl,USES,bench
one arm standing dumbbell front raise,USES,dumbbell
standing one arm bottoms up kettlebell press,USES,kettlebell
standing one arm bottoms up kettlebell press,USES,kettle bells
alternating big waves battling ropes,USES,rope
serrano press,USES,dumbbell
rope cable preacher curl,USES,cable
rope cable preacher curl,USES,bar
rope cable preacher curl,USES,bench
seated bradford press (aka seated rocky press),USES,bar
seated bradford press (aka seated rocky press),USES,barbell
seated bradford press (aka seated rocky press),USES,bench
band resistance single arm standing landmine press,USES,landmine
band resistance single arm standing landmine press,USES,barbell
standing kettlebell press,USES,kettle bells
lying cable front raise,USES,cable
lying cable front raise,USES,bar
rotational medicine ball scoop toss facing wall,USES,medicine ball
standing one arm kettlebell press,USES,kettlebell
standing one arm kettlebell press,USES,kettle bells
alternating small waves battling ropes,USES,rope
knee to elbow dumbbell external rotation,USES,dumbbell
alternating standing kettlebell press,USES,kettle bells
standing palms in dumbbell press,USES,dumbbell
standing banded face pull to chest,USES,bands
alternate dumbbell reverse fly on incline bench,USES,dumbbell
rotational med ball shot put,USES,medicine ball
two arm low pulley cable curl,USES,cable
lying wide dumbbell curl,USES,dumbbell
seated dumbbell front raise,USES,dumbbell
tall kneeling one arm kettlebell press,USES,kettle bells
cable concentration curl,USES,cable
cable concentration curl,USES,bar
wide grip ez bar curl,USES,ez bar
one arm dumbbell preacher curl,USES,dumbbell
double wave battling rope,USES,rope
one arm prone hammer dumbbell curl,USES,dumbbell
one-arm prone incline dumbbell curl,USES,dumbbell
barbell drag curl,USES,bar
barbell drag curl,USES,barbell
close grip standing barbell curl,USES,barbell
alternate dumbbell hammer preacher curl,USES,dumbbell
alternate incline dumbbell curl,USES,dumbbell
alternate incline dumbbell curl,USES,bench
lying high pulley close grip cable curl,USES,cable
lying high pulley close grip cable curl,USES,bar
lying high pulley close grip cable curl,USES,bench
one arm seated hammer curl,USES,dumbbell
resistance banded dumbbell bench press,USES,bench press machine
resistance banded dumbbell bench press,USES,bench press machine
alternating dumbbell bench press on exercise ball,USES,bench press machine
alternating dumbbell bench press on exercise ball,USES,bench press machine
alternating dumbbell bench press on exercise ball,USES,bench press machine
cross body arm swings,USES,bodyweight
dumbbell twist fly,USES,dumbbell
dumbbell twist fly,USES,bench
ring push up,USES,rings
cable chest press,USES,cable
tall kneeling medicine ball chest pass,USES,medicine ball
dumbbell bench press rotational grip,USES,bench press machine
dumbbell bench press rotational grip,USES,bench press machine
neutral grip decline dumbbell bench press,USES,bench press machine
kettlebell push up,USES,kettle bells
bosu ball push up,USES,other
decline cable flys,USES,cable
decline cable flys,USES,bench
wide grip decline bench press,USES,bench press machine
wide grip decline bench press,USES,bench press machine
reverse grip incline bench press,USES,bench press machine
reverse grip incline bench press,USES,bench press machine
reverse grip incline bench press,USES,bench press machine
exercise ball dumbbell fly,USES,dumbbell
exercise ball dumbbell fly,USES,exercise ball
knuckle push up,USES,bodyweight
2 board bench press,USES,bench press machine
2 board bench press,USES,bench press machine
eccentric only push up,USES,bodyweight
rack pec stretch,USES,bodyweight
neutral grip incline dumbbell bench press,USES,bench press machine
self-assisted straight bar dip,USES,bodyweight
t-push up,USES,bodyweight
push up jacks,USES,bodyweight
decline dumbbell twist fly,USES,dumbbell
muscle up,USES,bar
muscle up,USES,bodyweight
smith machine bench press,USES,smith machine
smith machine bench press,USES,smith machine
eccentric only incline push up,USES,bodyweight
eccentric only incline push up,USES,bench
barbell pullover and press,USES,bar
barbell pullover and press,USES,barbell
flat bench cable flys,USES,cable
decline cable chest press,USES,cable
floor press,USES,barbell
3 board bench press,USES,bench press machine
3 board bench press,USES,bench press machine
single leg medicine ball chest pass wall tap,USES,medicine ball
knee push-up,USES,bodyweight
shoulder tap push up,USES,bodyweight
valslide push up,USES,valslide
exercise ball push up,USES,exercise ball
yoga push up,USES,bodyweight
fingertip push ups,USES,bodyweight
alternating incline dumbbell fly,USES,dumbbell
alternating incline dumbbell fly,USES,bench
incline dumbbell twist fly,USES,dumbbell
wide grip barbell bench press,USES,bench press machine
wide grip barbell bench press,USES,bench press machine
push up to side plank,USES,bodyweight
alternating medicine ball push up,USES,medicine ball
smith machine wide grip bench press,USES,smith machine
smith machine wide grip bench press,USES,smith machine
smith machine wide grip bench press,USES,smith machine
reverse grip incline push up,USES,bench
wide grip reverse bench press,USES,bench press machine
wide grip reverse bench press,USES,bench press machine
wide grip reverse bench press,USES,bench press machine
half kneeling medicine ball chest pass,USES,medicine ball
push up (feet on swiss ball),USES,exercise ball
alternating dumbbell fly,USES,dumbbell
sled press,USES,sled
exercise ball cable fly,USES,exercise ball
paused push up,USES,bodyweight
pec lacrosse ball,USES,lacrosse ball
alternating reach push up,USES,bodyweight
band suspended kettlebell bench press,USES,bench press machine
band suspended kettlebell bench press,USES,bench press machine
band suspended kettlebell bench press,USES,bench press machine
alternating decline dumbbell fly,USES,dumbbell
reverse grip dumbbell squeeze press,USES,dumbbell
one arm medicine ball push up,USES,medicine ball
wide grip incline push up,USES,bodyweight
alternating dumbbell bench press (low start),USES,bench press machine
standing medicine ball chest throw,USES,medicine ball
bench push-up,USES,bodyweight
push up with knee drive,USES,bodyweight
bench press against chains,USES,bench press machine
lying cable pullover (rope extension),USES,cable
one-arm dumbbell bench press,USES,bench press machine
one-arm dumbbell bench press,USES,bench press machine
one arm bottoms up kettlebell bench press,USES,bench press machine
one arm bottoms up kettlebell bench press,USES,bench press machine
cable inner chest press,USES,cable
pec foam rolling,USES,foam roll
push up with mountain climber,USES,bodyweight
reverse grip bench press,USES,bench press machine
reverse grip bench press,USES,bench press machine
reverse grip bench press,USES,bench press machine
peroneal tiger tail,USES,tiger tail
one-leg smith machine seated calf raise,USES,smith machine
one-leg smith machine seated calf raise,USES,smith machine
standing pvc pec mobilization,USES,other
chain fly,USES,chains
hack squat calf raise,USES,hack squat machine
double jump jump rope,USES,jump rope
anterior calf tiger tail,USES,tiger tail
smith machine seated calf raise,USES,smith machine
one-leg hack squat calf raise,USES,hack squat machine
front to back jump rope,USES,jump rope
one-leg seated calf raise,USES,calf raise machine
rocking gastrocnemius emphasis ankle mobilization,USES,bodyweight
45 degree calf raise (toes out),USES,calf raise machine
paused sumo deadlift,USES,bar
paused sumo deadlift,USES,barbell
plate resisted glute ham raise,USES,other
smith machine stiff leg deadlift,USES,smith machine
smith machine stiff leg deadlift,USES,smith machine
smith machine stiff leg deadlift,USES,smith machine
trap bar rack pull,USES,trap bar
trap bar rack pull,USES,bar
barbell sumo romanian deadlift,USES,bar
barbell sumo romanian deadlift,USES,barbell
barbell stiff leg deadlift (on bench),USES,bar
barbell stiff leg deadlift (on bench),USES,barbell
barbell stiff leg deadlift (on bench),USES,bench
snatch grip romanian deadlift,USES,bar
snatch grip romanian deadlift,USES,barbell
sumo deadlift,USES,bar
sumo deadlift,USES,barbell
trap bar deficit deadlift,USES,trap bar
trap bar deficit deadlift,USES,bar
jefferson deadlift,USES,bar
jefferson deadlift,USES,barbell
reverse band deadlift,USES,bar
reverse band deadlift,USES,barbell
single leg snatch grip romanian deadlift,USES,bar
single leg snatch grip romanian deadlift,USES,barbell
partner assisted nordic hamstring curls,USES,nordic hamstring machine
banded trap bar deadlift,USES,trap bar
banded trap bar deadlift,USES,bar
kettlebell sumo deadlift (1 kb),USES,kettlebell
kettlebell sumo deadlift (1 kb),USES,kettle bells
reverse band sumo deadlift,USES,bar
reverse band sumo deadlift,USES,barbell
single leg landmine romanian deadlift,USES,landmine
single leg landmine romanian deadlift,USES,bar
sumo deficit deadlift,USES,bar
sumo deficit deadlift,USES,barbell
standing overhead medicine ball slam,USES,medicine ball
eccentric only chin up,USES,bar
eccentric only chin up,USES,bodyweight
standing overhead medicine ball throw,USES,medicine ball
close grip pull up,USES,bar
close grip pull up,USES,bodyweight
band resisted chin up,USES,dumbbell
band resisted chin up,USES,bar
band resisted chin up,USES,bands
single pause chin up,USES,bodyweight
rack lat stretch,USES,bodyweight
double pause pull up,USES,bodyweight
close grip chin up,USES,bar
close grip chin up,USES,bodyweight
shotgun row,USES,cable
weighted pull up hang,USES,belt
weighted pull up hang,USES,chains
wide grip chin up,USES,bar
wide grip chin up,USES,bodyweight
reverse grip incline bench two-arm dumbbell row,USES,dumbbell
batwing reverse sled drag,USES,sled
cable palm rotational row,USES,cable
thoracic extension on foam roller,USES,foam roll
incline bench barbell row,USES,bar
incline bench barbell row,USES,barbell
incline bench barbell row,USES,bench
double arm sled row,USES,sled
reverse grip incline bench cable row,USES,cable
reverse grip incline bench cable row,USES,bar
reverse grip incline bench cable row,USES,bench
yoga plex,USES,box
banded machine t-bar row,USES,t-bar machine
belt squat,USES,other
smith machine squat,USES,smith machine
smith machine squat,USES,smith machine
seated vertical jump,USES,box
front squat to bench,USES,barbell
narrow stance 45 degree leg press,USES,leg press machine
bodyweight lunge,USES,bodyweight
muscle snatch,USES,barbell
1 kettlebell step up,USES,kettle bells
depth jump to broad jump,USES,box
contralateral load dumbbell front lunge,USES,dumbbell
half kneeling quad stretch,USES,bodyweight
decline bench barbell lunge,USES,barbell
dumbbell wall squat,USES,dumbbell
2 to 1 box jump,USES,box
sled push,USES,sled
2 kb kettlebell jerk,USES,kettle bells
one leg barbell squat,USES,barbell
valslide reverse lunges,USES,valslide
wide stance 45 degree leg press,USES,leg press machine
depth jump to hurdle hop,USES,box
1 kb kettlebell push press,USES,kettlebell
1 kb kettlebell push press,USES,kettle bells
back squat against chains,USES,bar
back squat against chains,USES,chains
narrow smith machine squat,USES,smith machine
narrow smith machine squat,USES,smith machine
overhead banded squat,USES,bands
anti-rotation forward sled walk,USES,belt
anti-rotation forward sled walk,USES,sled
valslide lateral lunge,USES,valslide
depth jump,USES,box
