name,relation,equipment
pendlay row,USES,barbell
chest supported dumbbell row with isohold,USES,dumbbell
high inverted row,USES,bar
high inverted row,USES,bodyweight
hip adduction machine,USES,hip adduction machine
dumbbell lateral raise,USES,dumbbell
incline dumbbell curl,USES,dumbbell
incline dumbbell curl,USES,bench
banded good morning,USES,bands
barbell glute bridge,USES,bar
barbell glute bridge,USES,barbell
straight bar tricep extension,USES,cable
dumbbell flys,USES,dumbbell
dumbbell flys,USES,bench
barbell bench press,USES,bench press machine
barbell bench press,USES,bench press machine
pec dec,USES,pec dec machine
dumbbell wrist curl over bench,USES,dumbbell
wrist rollers,USES,bar
wrist rollers,USES,other
weight plate pinches,USES,other
dumbbell suitcase carry,USES,dumbbell
standing cable hamstring curl,USES,cable
nordic hamstring curl (bodyweight),USES,nordic hamstring machine
razor curl,USES,bodyweight
1 kettlebell single leg deadlift,USES,kettlebell
1 kettlebell single leg deadlift,USES,kettle bells
weighted chin up,USES,belt
weighted chin up,USES,bar
weighted chin up,USES,chains
weighted pull up,USES,belt
weighted pull up,USES,chains
gironda sternum chin up,USES,bar
gironda sternum chin up,USES,bodyweight
pull up with leg raise,USES,bodyweight
hip abduction machine,USES,hip abduction machine
cable hip abduction,USES,cable
standing machine calf raise,USES,calf raise machine
standing one-leg calf raise with dumbbell,USES,calf raise machine
smith machine calf raise,USES,smith machine
smith machine calf raise,USES,smith machine
dumbbell shrug,USES,dumbbell
barbell shrug,USES,bar
barbell shrug,USES,barbell
gittleson shrug,USES,dumbbell
ez-bar reverse grip bent-over row,USES,ez bar
one-arm bent-over row,USES,bar
one-arm bent-over row,USES,barbell
high pull sled drag,USES,sled
smith machine one-arm row,USES,smith machine
smith machine one-arm row,USES,smith machine
alternating lateral lunge with overhead reach,USES,bodyweight
deep squat prying,USES,kettlebell
deep squat prying,USES,kettle bells
cable hip adduction,USES,cable
military press (aka overhead press),USES,bar
military press (aka overhead press),USES,barbell
smith machine shoulder press,USES,smith machine
smith machine shoulder press,USES,smith machine
smith machine shoulder press,USES,smith machine
bent over dumbbell reverse fly,USES,dumbbell
standing dumbbell press,USES,dumbbell
standing hammer curl,USES,dumbbell
standing barbell curl,USES,bar
standing barbell curl,USES,barbell
seated good mornings,USES,bar
seated good mornings,USES,barbell
seated good mornings,USES,bench
weighted hyperextension,USES,other
lying dumbbell extension,USES,dumbbell
ez bar skullcrusher,USES,ez bar
ez bar skullcrusher,USES,bar
seated dumbbell tricep extension,USES,dumbbell
lying barbell tricep extension (skull crusher),USES,bar
lying barbell tricep extension (skull crusher),USES,barbell
hammer strength bench press,USES,bench press machine
hammer strength bench press,USES,bench press machine
incline dumbbell flys,USES,dumbbell
cable iron cross,USES,cable
chest dip,USES,bodyweight
reverse barbell wrist curl over bench,USES,barbell
reverse barbell wrist curl over bench,USES,bench
reverse dumbbell wrist curl over bench,USES,dumbbell
one arm reverse dumbbell preacher curl,USES,dumbbell
landmine rdl,USES,landmine
landmine rdl,USES,bar
exercise ball leg curl (shelc),USES,leg curl machine
exercise ball leg curl (shelc),USES,leg curl machine
american deadlift,USES,bar
american deadlift,USES,barbell
band assisted chin up (from foot),USES,bar
band assisted chin up (from foot),USES,bands
rope climb,USES,rope
l-sit chin up,USES,bar
l-sit chin up,USES,bodyweight
bodyweight standing calf raise,USES,calf raise machine
donkey calf raise,USES,calf raise machine
one-leg standing bodyweight calf raise,USES,calf raise machine
trap bar shrug,USES,trap bar
trap bar shrug,USES,bar
tate press,USES,dumbbell
clean shrug,USES,bar
clean shrug,USES,barbell
world's greatest stretch,USES,bodyweight
deadstop rack row,USES,bar
deadstop rack row,USES,barbell
seated high cable row,USES,cable
seated high cable row,USES,bench
inverted rope row,USES,rope
incline bench cable row (rope extension),USES,cable
incline bench cable row (rope extension),USES,bench
adductor foam rolling,USES,foam roll
lateral kneeling adductor mobilization,USES,bodyweight
rocking frog stretch,USES,bodyweight
seated dumbbell press,USES,dumbbell
seated dumbbell press,USES,bench
seated barbell shoulder press,USES,bar
seated barbell shoulder press,USES,barbell
seated barbell shoulder press,USES,bench
seated arnold press,USES,dumbbell
seated arnold press,USES,bench
cable face pull,USES,cable
standing dumbbell curl,USES,dumbbell
ez bar preacher curl,USES,barbell
concentration curl,USES,dumbbell
banded multi directional toe touch,USES,bands
