workout_name,relation,exercise
8-week-muscle-building-bodyweight-workout_0,INCLUDES,push up
8-week-muscle-building-bodyweight-workout_1,INCLUDES,push up
calisthenics-workout-to-improve-performance_0,INCLUDES,push up
calisthenics-workout-to-improve-performance_2,INCLUDES,push up
single-pair-dumbbell-bodyweight-workout_3,INCLUDES,push up
full-body-bodyweight-workout.html_0,INCLUDES,wide grip pull up
6-day-powerbuilding-split-meal-plan_4,INCLUDES,wide grip pull up
conjugate-system-beginner-powerlifting-workout-phase-3_7,INCLUDES,wide grip pull up
conjugate-system-beginner-powerlifting-workout-phase-3_11,INCLUDES,wide grip pull up
arnold-schwarzenegger-volume-workout-routines_3,INCLUDES,wide grip pull up
6-week-dwayne-johnson-hercules_2,INCLUDES,wide grip pull up
6-week-dwayne-johnson-hercules_3,INCLUDES,wide grip pull up
captain-america-winter-soldier-physique_1,INCLUDES,wide grip pull up
ryan-reynolds-deadpool-inspired-workout_2,INCLUDES,wide grip pull up
pain-gain-dwayne-johnson-mark-wahlberg-workout_0,INCLUDES,wide grip pull up
robert-downey-jr-workout_0,INCLUDES,wide grip pull up
dave-bautista-workout-program_3,INCLUDES,wide grip pull up
yoked-thor-training-program-diet-plan_0,INCLUDES,wide grip pull up
yoked-thor-training-program-diet-plan_3,INCLUDES,wide grip pull up
yoked-thor-training-program-diet-plan_7,INCLUDES,wide grip pull up
sylvester-stallone-workout_4,INCLUDES,wide grip pull up
chris-pratt-workout-program_0,INCLUDES,wide grip pull up
chris-pratt-workout-program_4,INCLUDES,wide grip pull up
300-spartan-workout_0,INCLUDES,wide grip pull up
300-spartan-workout_0,INCLUDES,wide grip pull up
john-cena-workout-routine_4,INCLUDES,wide grip pull up
dougs-mass-building-routine-for-ectomorphs.html_1,INCLUDES,wide grip pull up
shaun--s-3-day-muscle-building-split.html_2,INCLUDES,wide grip pull up
21-compound-exercises-only-workout.html_2,INCLUDES,wide grip pull up
advanced-bodybuilder-workout.html_3,INCLUDES,wide grip pull up
gain-mass-fast-20-week-program_2,INCLUDES,wide grip pull up
gain-mass-fast-20-week-program_5,INCLUDES,wide grip pull up
gain-mass-fast-20-week-program_7,INCLUDES,wide grip pull up
dumbbell-barbell-mass-workout.html_1,INCLUDES,wide grip pull up
3day-beginners-workout.html_1,INCLUDES,wide grip pull up
cobra-back-workout_1,INCLUDES,wide grip pull up
guns-a-blazing-workout_1,INCLUDES,wide grip pull up
himl-4-maximum-muscle-building-workout-system.html_3,INCLUDES,wide grip pull up
himl-4-maximum-muscle-building-workout-system.html_11,INCLUDES,wide grip pull up
30-day-military-athlete-workout-program_0,INCLUDES,wide grip pull up
30-day-military-athlete-workout-program_4,INCLUDES,wide grip pull up
chris-evans-workout-program_1,INCLUDES,wide grip pull up
increase-your-wingspan-workout_0,INCLUDES,wide grip pull up
build-wider-back_2,INCLUDES,wide grip pull up
back-day-burnout_0,INCLUDES,wide grip pull up
8-week-chest-back-workout-routine_1,INCLUDES,wide grip pull up
upper-lower-4-day-gym-bodybuilding-workout_2,INCLUDES,wide grip pull up
4-day-maximum-mass-workout_0,INCLUDES,wide grip pull up
mft-training_0,INCLUDES,wide grip pull up
steves-density-and-strength-4-day-split.html_1,INCLUDES,wide grip pull up
4-day-barbell-only-workout_0,INCLUDES,wide grip pull up
tactical-physique-strength-conditioning-workout_0,INCLUDES,wide grip pull up
tactical-physique-strength-conditioning-workout_4,INCLUDES,wide grip pull up
300-rise-new-you-workout-muscular-ripped_0,INCLUDES,wide grip pull up
scarlett-johansson-workout-program_1,INCLUDES,wide grip pull up
steve-reeves-inspired-workout_1,INCLUDES,wide grip pull up
6-week-navy-seal-workout-routine_4,INCLUDES,wide grip pull up
dumbbell-only-home-or-gym-fullbody-workout.html_2,INCLUDES,wide grip pull up
total-package-workout_1,INCLUDES,wide grip pull up
muscle-strength-full-body-workout-routine_1,INCLUDES,wide grip pull up
intense-super-shred-40-minute-fat-blast_2,INCLUDES,wide grip pull up
3-day-whole-body-toning-workout.html_2,INCLUDES,wide grip pull up
creed-workout-program_5,INCLUDES,wide grip pull up
20-6-day-weight-cardio-cutting-workout.html_1,INCLUDES,wide grip pull up
26-doug--s-6-day-cutting-routine.html_1,INCLUDES,wide grip pull up
12-week-fat-destroyer_0,INCLUDES,wide grip pull up
8-week-muscle-building-bodyweight-workout_5,INCLUDES,wide grip pull up
8-week-muscle-building-bodyweight-workout_6,INCLUDES,wide grip pull up
full-body-bodyweight-workout.html_0,INCLUDES,bodyweight walking lunge
dave-bautista-workout-program_5,INCLUDES,bodyweight walking lunge
chris-pratt-workout-program_2,INCLUDES,bodyweight walking lunge
batman-workout-routine_0,INCLUDES,bodyweight walking lunge
batman-workout-routine_8,INCLUDES,bodyweight walking lunge
