name,start,end
111-1200,111,1200
111-260,111,260
10-110,10,110
0-2.5,0,2.5
8.1-13.5,8.1,13.5
0-5.0,0,5.0
5.1-8.0,5.1,8.0
201-260,201,260
1.6-2.5,1.6,2.5
591-890,591,890
3.6-5.0,3.6,5.0
0-1.5,0,1.5
0-1200,0,1200
411-590,411,590
891-1200,891,1200
2.6-3.5,2.6,3.5
13.6-16.0,13.6,16.0
5.1-13.5,5.1,13.5
261-590,261,590
261-410,261,410
111-200,111,200
0-110,0,110
591-1200,591,1200
5.1-110,5.1,110
13.6-110,13.6,110
2.6-5.0,2.6,5.0
111-590,111,590
